time[s],x[m],y[m],vx[m/s],vy[m/s],theta[rad],theta_dot[rad/s],alpha[rad],gamma[rad],mass[kg],masspropellant[kg],u1_vref
418.40000000002664,109580.87155485971,28167.030132833,-12.967039882959552,-1150.4692191814377,1.4778304377840492,0.11481508164254961,-3.223287931784782,4.701118369568831,872065.4313156572,527784.0622653277,0.54215979579554
418.50000000002666,109579.59159545663,28052.30092143764,-12.799594030840549,-1147.2921139535763,1.516551167753842,0.38720729969792733,-3.184681924008836,4.701233091762678,871047.2205191861,526765.8514688566,0.5378783236083702
418.6000000000267,109578.31213679236,27937.89100411932,-12.794586642730486,-1144.099173183215,1.5827770828807461,0.6622591512690426,-3.1184292538916836,4.7012063367724295,870029.0211547627,525747.6521044332,0.5335924716536902
418.7000000000267,109577.05663734824,27823.8004501817,-12.554994441138566,-1140.905539376197,1.6129842496431825,0.30207166762436316,-3.0884007630565344,4.701385012699717,869011.9496706154,524730.5806202858,0.5293024338474985
418.8000000000267,109575.81300777421,27710.028883207688,-12.436295740282715,-1137.715669740153,1.6066339725503727,-0.06350277092809986,-3.094824508423764,4.701458480974137,867996.0362492743,523714.6671989447,0.5250083475230938
418.90000000002675,109574.58425094669,27596.57669240829,-12.287568275156834,-1134.5219079939907,1.563297490095624,-0.4333648245474864,-3.1382613002596713,4.701558790355295,866980.4592482491,522699.0901979196,0.5207103328071487
419.0000000000268,109573.38867384905,27483.44435383778,-11.955770976323638,-1131.3233857050718,1.4826902996509115,-0.8060719044471265,-3.2191311223527594,4.701821422003671,865965.3627510066,521683.9937006771,0.5164085383241037
419.1000000000268,109572.20589893949,27370.63082937015,-11.827749095614191,-1128.1352446762867,1.4316380097792163,-0.5105228987169517,-3.2702670186093457,4.701905028388562,864951.1568469191,520669.78779658966,0.5121031158506557
419.2000000000268,109571.05664252094,27258.134469429857,-11.492564185528883,-1124.9635994029293,1.410641265052006,-0.20996744727210426,-3.291532127550453,4.702173392602459,863936.2862431161,519654.9171927867,0.5077941591117072
419.30000000002684,109569.94937252389,27145.95541044314,-11.07269997055822,-1121.7905898671481,1.4201265144620165,0.09485249410010588,-3.282392227667118,4.702518742129135,862919.017694481,518637.6486441515,0.5034817373991165
419.40000000002686,109568.88004547828,27034.09567937816,-10.693270456143289,-1118.5973106498063,1.46050067042324,0.40374155961223357,-3.2423290658631716,4.702829736286412,861899.3157259572,517617.9466756277,0.4991659875541483
419.5000000000269,109567.83168055776,26922.558125465348,-10.483649205180521,-1115.3755391281181,1.5321224693018145,0.7162179887857462,-3.170867577605092,4.702990046906907,860878.9645685413,516597.5955182118,0.4948471192453341
419.6000000000269,109566.77408427073,26811.34458813084,-10.575962870298312,-1112.1353733450771,1.6351806716155597,1.0305820231374514,-3.0676989951212716,4.702879666736831,859860.4883726505,515579.119322321,0.4905253747981988
419.70000000002693,109565.72262444287,26700.453173223344,-10.514598278472512,-1108.9141490749546,1.6974897176365142,0.6230904602095451,-3.005417660231752,4.702907377868266,858845.2740323829,514563.9049820534,0.486200958386221
419.80000000002696,109564.65191471457,26589.881362194275,-10.707097282983733,-1105.718110290688,1.718516036724983,0.21026319088468676,-2.984189858485345,4.702705895210328,857831.3337741098,513549.96472378034,0.48187392886283775
419.900000000027,109563.55354387242,26479.629129460707,-10.983708421617001,-1102.5223273356978,1.6977949183602232,-0.20721118364759833,-3.0046320460186537,4.702426964378877,856815.6459279024,512534.27687757293,0.47754431917281326
420.000000000027,109562.43635418876,26369.698907693768,-11.171896836662468,-1099.3022176693974,1.6348253341736867,-0.6296958418653651,-3.067401279514424,4.702226613688111,855797.9082657822,511516.5392154527,0.47321225863610317
420.100000000027,109561.32699891167,26260.093431249403,-11.09355277089291,-1096.0547644436576,1.5291823271664104,-1.0564300700727616,-3.173085649834245,4.7022679770006555,854780.5247101212,510499.1556597917,0.46887797327130176
420.20000000002705,109560.20738576309,26150.81274459366,-11.196131485724344,-1092.806866557428,1.4575805967634818,-0.7160173040292857,-3.244563444542908,4.70214404130639,853766.4173507824,509485.0483004529,0.46454170198723865
420.30000000002707,109559.1068231321,26041.85376920905,-11.005626309869577,-1089.5897538460822,1.4207140439766262,-0.3686655278685566,-3.281574573391987,4.702288617368613,852755.3027249419,508473.9336746123,0.4602035778182263
420.4000000000271,109558.04019840561,25933.214957004493,-10.666247264857622,-1086.3881220455614,1.419098095011795,-0.01615948964831021,-3.283473119194391,4.702571214206186,851744.1958812894,507462.8268309598,0.45586360883208776
420.5000000000271,109557.00792720549,25824.897287387066,-10.322712001203028,-1083.1766961742778,1.453198000849459,0.3409990583766391,-3.2496612328684265,4.702859233717885,850731.5260513391,506450.15700100944,0.451521862328764
420.60000000002714,109555.99554330648,25716.903351249908,-10.123838990160312,-1079.9393613715965,1.5234321931490837,0.7023419229962471,-3.1795826104940446,4.7030148036431285,849718.1683808849,505436.79933055525,0.4471785059186675
420.70000000002716,109554.97330908733,25609.23523286404,-10.222342191435489,-1076.6811838586761,1.630035478108627,1.0660328495954332,-3.072859480083051,4.702894958191678,848706.5225369923,504425.1534866627,0.44283377229339793
420.8000000000272,109553.96408046456,25501.89115171003,-10.092286227674316,-1073.4408115400875,1.690512579339953,0.6047710123132597,-3.012474868357499,4.702987447697452,847698.3455782596,503416.97652792995,0.43848787465320216
420.9000000000272,109552.94320573585,25394.868590848168,-10.208747287035209,-1070.225608618652,1.7042716088834113,0.1375902954345849,-2.99857878674866,4.702850395632072,846691.9523121272,502410.5832617976,0.4341408701484679
421.0000000000272,109551.90533666611,25288.167733806567,-10.37869069734549,-1067.0085704160165,1.6708045668532197,-0.33467042030191585,-3.0318578155592393,4.702662382412459,845684.44648286,501403.0774325304,0.42979278463358095
421.10000000002725,109550.86475479031,25181.79103490843,-10.405818757977805,-1063.7669889813747,1.5896019538088526,-0.8120261304436709,-3.1130052914973145,4.702607245306167,844675.8888806625,500394.51983033295,0.425443752500936
421.2000000000273,109549.85587186838,25075.740227911807,-10.088829219316812,-1060.5080699662328,1.4603866137659143,-1.2921534004293844,-3.242489449959587,4.702876063725501,843668.8764061639,499387.5073558343,0.4210940008591595
421.3000000000273,109548.86067933681,24970.012337386735,-9.951925315705875,-1057.2789052507098,1.370717074507456,-0.8966953925845831,-3.3322594118158664,4.7029764863233225,842665.4839954823,498384.1149451527,0.4167437281100823
421.4000000000273,109547.91572981821,24864.601997539132,-9.449495186024864,-1054.1033984760254,1.3211728512039773,-0.4954422330347863,-3.3822518832774335,4.703424734481411,841662.4479714565,497381.0789211269,0.4123929390764063
421.50000000002734,109547.04134839676,24759.507126192297,-8.743814214501267,-1050.9487134683602,1.3121691000270697,-0.09003751176907754,-3.391900147569006,4.704069247596076,840654.5718266926,496373.202776363,0.40804153781651165
421.60000000002736,109546.2415763018,24654.730044043736,-7.997720949429897,-1047.7708214856018,1.34419692777594,0.3202782774887035,-3.3605591185122847,4.7047560462882245,839639.8344828521,495358.4654325226,0.40368956141810886
