t[s],x[m],y[m],vx[m/s],vy[m/s],mass[kg],tau[-]
300.97499999999127,3585.584056307079,23289.06290597598,-177.88171201995283,-904.8169024964062,1476395.5996681452,0.9286646560724967
301.0749999999913,3567.844512541708,23198.772704264782,-177.3954376537119,-902.9020171119864,1475205.7008727968,0.9302180131668502
301.1749999999913,3550.1591142558295,23108.672145790555,-176.85398285878324,-901.0055847422636,1474016.0353797297,0.9300356262399054
301.27499999999134,3532.5040943399886,23018.763342760405,-176.55019915841163,-899.0880303015053,1472825.0218619485,0.93108946113417
301.37499999999136,3514.869667894866,22929.04772197923,-176.34426445122642,-897.1562078117536,1471629.2926942622,0.9347759784269419
301.4749999999914,3497.260323207373,22839.526980094433,-176.0934468749274,-895.2074188479565,1470427.5581931116,0.939470721698699
301.5749999999914,3479.6951781306607,22750.201693500167,-175.65145076712378,-893.2528659426521,1469221.625971824,0.9427523410271351
301.6749999999914,3462.207920825257,22661.068059241643,-174.8725730540363,-891.3363425852432,1468015.0796521085,0.9432324200234143
301.77499999999145,3444.7993258278475,22572.12254590876,-174.08594997409418,-889.4551333288392,1466809.9725889943,0.9421072634796747
301.8749999999915,3427.501431909295,22483.352392266977,-172.9789391855228,-887.7015364178133,1465602.1216482276,0.9442523235706449
301.9749999999915,3410.3337432071335,22394.74999096472,-171.6768870216161,-886.0240130225819,1464384.1736554666,0.9521458181113213
302.0749999999915,3393.3041285471895,22306.314998688234,-170.296146599441,-884.3499227648514,1463151.4167190627,0.9637228918813071
302.17499999999154,3376.4082198439273,22218.05443858059,-168.95908703262415,-882.6056010764219,1461904.1260452224,0.9750848198158019
302.27499999999156,3359.627686440522,22129.981085814223,-167.80533403405045,-880.7335276637053,1460647.6225238934,0.9822870766127835
302.3749999999916,3342.928233472857,22042.110000853467,-166.99452967665187,-878.7108496075659,1459390.3921357072,0.9828553137152448
302.4749999999916,3326.3085297677467,21954.4435585093,-166.1970370511012,-876.6644234416602,1458140.2677400839,0.9773001166605445
302.57499999999163,3309.733307986837,21866.98400584276,-165.75221780909493,-874.5955266654003,1456898.6838612636,0.9706234626433616
302.67499999999166,3293.184276612001,21779.731242721144,-165.49031374836088,-872.5276312161866,1455660.502461289,0.9679635329718713
302.7749999999917,3276.6601690804337,21692.685705409534,-165.24107531567597,-870.4553731160806,1454421.4787006937,0.9686220587441039
302.8749999999917,3260.176925040016,21605.84768951351,-164.83244040417642,-868.3801589602407,1453181.1592554194,0.969634976172365
302.9749999999917,3243.7677119316127,21519.213915901968,-164.09213108403375,-866.3377361154271,1451942.2429358347,0.9685380654129767
303.07499999999175,3227.4283139343647,21432.7823678506,-163.39397997247858,-864.3154805136693,1450707.116271469,0.9655754558513309
303.17499999999177,3211.190160564647,21346.54099669397,-162.3815336971743,-862.4137115662896,1449472.2998510166,0.9653329188577846
303.2749999999918,3195.069462297003,21260.483893061944,-161.20698267644084,-860.5710363202516,1448230.9646214123,0.9704290780615429
303.3749999999918,3179.0678850456775,21174.61322424939,-160.01577251325773,-858.7066881255289,1446979.5084102233,0.9783412798537029
303.47499999999184,3163.1714929008403,21088.938415583933,-158.9639214483718,-856.748086654581,1445719.6928002485,0.9848763426338973
303.57499999999186,3147.348742741339,21003.472860900096,-158.22750159501382,-854.6555468383832,1444457.6983762218,0.9865796573077114
303.6749999999919,3131.6064582608983,20918.21731470586,-157.4228448044065,-852.5554619423588,1443200.4992842106,0.9828308475457198
303.7749999999919,3115.9127401630303,20833.17397557191,-156.93718097867838,-850.4333913395005,1441949.5394976703,0.9779531937809588
