time[s],x[m],y[m],vx[m/s],vy[m/s],theta[rad],theta_dot[rad/s],alpha[rad],gamma[rad],mass[kg],mass_propellant[kg],u0
131.24999999999747,40094.96041205537,69434.22993780412,-52.1414154328364,548.2352941627641,3.213196894501553,0.0015395118241033545,1.5475780543816597,1.6656188401198941,1629148.56435759,1284867.1953072606,0.0
131.27499999999748,40093.656875705936,69447.92982220874,-52.141453977315486,547.9953761844205,3.2132357614860703,0.0015546793806808083,1.5475755859541667,1.6656601755319036,1629148.56435759,1284867.1953072606,0.0
131.29999999999748,40092.353338395405,69461.62370868998,-52.141492421259805,547.7554592493298,3.2132750067073,0.0015698088491678868,1.547573460240538,1.6657015464667622,1629148.56435759,1284867.1953072606,0.0
131.3249999999975,40091.04980012628,69475.3115972739,-52.141530764938125,547.5155433569781,3.2133146292149743,0.0015849003069597263,1.5475716762440268,1.6657429529709475,1629148.56435759,1284867.1953072606,0.0
131.3499999999975,40089.74626090107,69488.99348798658,-52.14156900861847,547.275628506852,3.2133546280607606,0.0015999538314605192,1.547570232969744,1.6657843950910165,1629148.56435759,1284867.1953072606,0.0
131.3749999999975,40088.442720722254,69502.66938085404,-52.14160715256812,547.0357146984378,3.213395002298263,0.0016149695000818886,1.5475691294246567,1.6658258728736057,1629148.56435759,1284867.1953072606,0.0
131.3999999999975,40087.13917959233,69516.33927590233,-52.141645197053634,546.7958019312223,3.213435750983019,0.0016299473902412825,1.5475683646175893,1.6658673863654299,1629148.56435759,1284867.1953072606,0.0
131.4249999999975,40085.83563751377,69530.00317315744,-52.14168314234084,546.5558902046922,3.2134768731725027,0.001644887579360369,1.5475679375592197,1.6659089356132835,1629148.56435759,1284867.1953072606,0.0
131.44999999999752,40084.53209448905,69543.6610726454,-52.141720988694836,546.3159795183346,3.2135183679261243,0.00165979014486346,1.547567847262085,1.665950520664039,1629148.56435759,1284867.1953072606,0.0
131.47499999999752,40083.22855052064,69557.31297439219,-52.14175873638,546.0760698716368,3.2135602343052287,0.0016746551641759336,1.5475680927405782,1.6659921415646506,1629148.56435759,1284867.1953072606,0.0
131.49999999999753,40081.925005610996,69570.95887842379,-52.14179638565997,545.8361612640862,3.2136024713730964,0.0016894827147226812,1.5475686730109461,1.6660337983621505,1629148.56435759,1284867.1953072606,0.0
131.52499999999753,40080.62145976257,69584.59878476616,-52.141833936797696,545.5962536951703,3.2136450781949453,0.0017042728739265576,1.5475695870912933,1.6660754911036513,1629148.56435759,1284867.1953072606,0.0
131.54999999999754,40079.31791297782,69598.23269344527,-52.14187139005537,545.3563471643769,3.2136880538379247,0.0017190257192068541,1.5475708340015792,1.6661172198363463,1629148.56435759,1284867.1953072606,0.0
131.57499999999754,40078.01436525918,69611.86060448705,-52.141908745694494,545.1164416711938,3.213731397371124,0.0017337413279777765,1.5475724127636172,1.6661589846075073,1629148.56435759,1284867.1953072606,0.0
131.59999999999755,40076.710816609084,69625.48251791744,-52.14194600397584,544.8765372151092,3.213775107865566,0.0017484197776469377,1.5475743224010772,1.6662007854644887,1629148.56435759,1284867.1953072606,0.0
131.62499999999756,40075.40726702996,69639.09843376232,-52.14198316515947,544.6366337956114,3.213819184394206,0.0017630611456138704,1.5475765619394821,1.6662426224547238,1629148.56435759,1284867.1953072606,0.0
131.64999999999756,40074.10371652422,69652.70835204763,-52.14202022950475,544.3967314121887,3.2138636260319378,0.0017776655092685409,1.5475791304062096,1.6662844956257281,1629148.56435759,1284867.1953072606,0.0
131.67499999999757,40072.80016509429,69666.31227279924,-52.14205719727032,544.1568300643299,3.2139084318555877,0.0017922329459898827,1.5475820268304914,1.6663264050250963,1629148.56435759,1284867.1953072606,0.0
131.69999999999757,40071.49661274257,69679.91019604303,-52.1420940687141,543.9169297515238,3.213953600943916,0.001806763533144346,1.547585250243411,1.6663683507005054,1629148.56435759,1284867.1953072606,0.0
131.72499999999758,40070.19305947147,69693.50212180486,-52.14213084409334,543.6770304732593,3.213999132377619,0.0018212573480844503,1.5475887996779045,1.6664103326997137,1629148.56435759,1284867.1953072606,0.0
131.74999999999758,40068.88950528338,69707.08805011059,-52.14216752366456,543.4371322290255,3.2140450252393222,0.0018357144681473592,1.5475926741687613,1.6664523510705607,1629148.56435759,1284867.1953072606,0.0
131.7749999999976,40067.58595018069,69720.66798098605,-52.14220410768359,543.1972350183117,3.214091278613588,0.0018501349706534606,1.5475968727526208,1.6664944058609676,1629148.56435759,1284867.1953072606,0.0
131.7999999999976,40066.282394165784,69734.24191445706,-52.14224059640556,542.9573388406076,3.214137891586911,0.0018645189329049659,1.5476013944679734,1.6665364971189376,1629148.56435759,1284867.1953072606,0.0
131.8249999999976,40064.97883724103,69747.80985054944,-52.142276990084895,542.7174436954026,3.2141848632477155,0.0018788664321845185,1.54760623835516,1.6665786248925554,1629148.56435759,1284867.1953072606,0.0
131.8499999999976,40063.67527940881,69761.371789289,-52.14231328897534,542.4775495821867,3.2142321926863593,0.001893177545753811,1.5476114034563708,1.6666207892299885,1629148.56435759,1284867.1953072606,0.0
131.8749999999976,40062.37172067148,69774.92773070151,-52.142349493329924,542.2376565004499,3.214279878995131,0.0019074523508522247,1.5476168888156445,1.6666629901794863,1629148.56435759,1284867.1953072606,0.0
131.89999999999762,40061.06816103139,69788.47767481276,-52.14238560340101,541.9977644496823,3.2143279212682483,0.0019216909246954686,1.5476226934788668,1.6667052277893812,1629148.56435759,1284867.1953072606,0.0
131.92499999999762,40059.764600490904,69802.0216216485,-52.142421619440256,541.7578734293743,3.21437631860186,0.0019358933444742457,1.547628816493772,1.6667475021080886,1629148.56435759,1284867.1953072606,0.0
131.94999999999763,40058.46103905236,69815.55957123448,-52.14245754169864,541.5179834390163,3.214425070094044,0.0019500596873529182,1.547635256909938,1.666789813184106,1629148.56435759,1284867.1953072606,0.0
131.97499999999764,40057.15747671806,69829.09152359689,-52.142493372197144,541.2780944964886,3.214474173802406,0.0019641483344844625,1.5476420127363932,1.6668321610660124,1629148.56435759,1284867.1953072606,0.0
131.99999999999764,40055.85391349032,69842.61747876146,-52.14252910941186,541.0382065828551,3.2145236288309995,0.0019782011437542114,1.547649083028527,1.666874545802473,1629148.56435759,1284867.1953072606,0.0
132.02499999999765,40054.55034937148,69856.1374367539,-52.142564753591714,540.7983196976069,3.2145734342858034,0.0019922181921478337,1.547656466843568,1.666916967442235,1629148.56435759,1284867.1953072606,0.0
132.04999999999765,40053.24678436385,69869.6513975999,-52.14260030498496,540.5584338402352,3.214623589274718,0.0020061995566190145,1.547664163240588,1.6669594260341303,1629148.56435759,1284867.1953072606,0.0
132.07499999999766,40051.94321846976,69883.15936132515,-52.142635763839166,540.3185490102317,3.21467409290757,0.0020201453140881965,1.5476721712804966,1.667001921627074,1629148.56435759,1284867.1953072606,0.0
132.09999999999766,40050.6396516915,69896.66132795533,-52.142671130401226,540.0786652070877,3.214724944296107,0.002034055541441326,1.5476804900260412,1.6670444542700655,1629148.56435759,1284867.1953072606,0.0
132.12499999999767,40049.336084031376,69910.15729751608,-52.14270640491736,539.8387824302952,3.214776142553995,0.0020479303155286166,1.5476891185418065,1.6670870240121884,1629148.56435759,1284867.1953072606,0.0
132.14999999999768,40048.032515491686,69923.64727003306,-52.14274158763313,539.598900679346,3.214827686796824,0.002061769713163319,1.547698055894213,1.6671296309026107,1629148.56435759,1284867.1953072606,0.0
132.17499999999768,40046.72894607472,69937.13124553191,-52.14277667879341,539.3590199537323,3.214879576142102,0.002075573811120509,1.5477073011515172,1.6671722749905848,1629148.56435759,1284867.1953072606,0.0
132.1999999999977,40045.425375782754,69950.60922403824,-52.1428116786424,539.1191402529463,3.214931809709255,0.002089342686135881,1.547716853383807,1.6672149563254481,1629148.56435759,1284867.1953072606,0.0
132.2249999999977,40044.121804618066,69964.08120557765,-52.14284658742366,538.8792615764805,3.2149843866196273,0.002103076414904561,1.5477267116630047,1.6672576749566228,1629148.56435759,1284867.1953072606,0.0
132.2499999999977,40042.81823258293,69977.54719017574,-52.142881405380066,538.6393839238276,3.21503730599648,0.002116775074079923,1.5477368750628626,1.667300430933617,1629148.56435759,1284867.1953072606,0.0
132.2749999999977,40041.51465967961,69991.0071778581,-52.14291613275384,538.3995072944803,3.215090566964987,0.0021304387402724264,1.5477473426589632,1.6673432243060233,1629148.56435759,1284867.1953072606,0.0
132.2999999999977,40040.21108591036,70004.4611686503,-52.14295076978654,538.1596316879313,3.2151441686522375,0.002144067490048453,1.5477581135287177,1.6673860551235198,1629148.56435759,1284867.1953072606,0.0
132.32499999999771,40038.907511277444,70017.9091625779,-52.142985316719056,537.9197571036741,3.215198110187236,0.00215766139992917,1.547769186751365,1.6674289234358706,1629148.56435759,1284867.1953072606,0.0
132.34999999999772,40037.6039357831,70031.35115966643,-52.143019773791636,537.6798835412017,3.2152523907008956,0.0021712205463893935,1.5477805614079694,1.6674718292929265,1629148.56435759,1284867.1953072606,0.0
132.37499999999773,40036.30035942957,70044.78715994144,-52.143054141243866,537.4400110000075,3.2153070093260423,0.0021847450058564708,1.5477922365814192,1.6675147727446225,1629148.56435759,1284867.1953072606,0.0
132.39999999999773,40034.99678221909,70058.21716342843,-52.14308841931468,537.2001394795853,3.2153619651974097,0.0021982348547091644,1.547804211356428,1.6675577538409818,1629148.56435759,1284867.1953072606,0.0
132.42499999999774,40033.69320415388,70071.64117015291,-52.143122608242365,536.9602689794289,3.2154172574516418,0.0022116901692765642,1.5478164848195282,1.6676007726321134,1629148.56435759,1284867.1953072606,0.0
132.44999999999774,40032.389625236174,70085.0591801404,-52.14315670826455,536.7203994990319,3.215472885227288,0.002225111025836991,1.547829056059075,1.6676438291682125,1629148.56435759,1284867.1953072606,0.0
132.47499999999775,40031.08604546818,70098.47119341634,-52.14319071961822,536.4805310378887,3.215528847664803,0.0022384975006169328,1.547841924165241,1.6676869234995622,1629148.56435759,1284867.1953072606,0.0
132.49999999999775,40029.78246485212,70111.87721000622,-52.14322464253971,536.2406635954933,3.215585143906548,0.002251849669789969,1.5478550882300164,1.6677300556765318,1629148.56435759,1284867.1953072606,0.0
