swarm_idx,best_fitness,avg_fitness,min_fitness,max_fitness,std_fitness,num_particles,generation,global_best_fitness,global_avg_fitness
1,-194.1496593109125,5656.650738743564,-193.62008861797173,19211.520646773697,6908.690170732994,75,31,-446943.379366033,6572.255451034502
1,-194.1496593109125,10185.502031119662,-142.1608596751339,19212.370310930117,5923.816473853875,75,32,-446943.379366033,8409.62029445155
1,-194.1496593109125,12056.784727789907,-174.83228805487272,19212.018546969444,6221.609833638358,75,33,-552679.9515172171,5511.011753945525
1,-194.1496593109125,11736.387854711527,-158.01292133113785,19209.3366855866,5923.861873044808,75,34,-552679.9515172171,9265.893834901442
1,-194.1496593109125,8625.78830128238,-162.86028477492403,19213.341354210505,6459.5393904877055,75,35,-552679.9515172171,7903.734709786815
1,-194.1496593109125,7870.219023773051,-179.10507435977877,19211.813141355015,7017.07043579596,75,36,-552679.9515172171,7272.5486685662945
1,-194.1496593109125,7894.0023285977995,-127.48442073359305,19210.407402587905,5879.241815509007,75,37,-552679.9515172171,6762.647725029246
1,-194.1496593109125,8992.861500912879,-188.99300899637763,19215.40996829398,6196.464330731138,75,38,-552679.9515172171,7579.29806574183
1,-194.1496593109125,10281.594151910833,-142.53156764483762,19213.217159384367,5803.494291859082,75,39,-552679.9515172171,7420.299352829105
1,-194.1496593109125,10558.28498281228,-172.99617869561533,19209.143866316375,6182.444359726458,75,40,-552679.9515172171,8479.056269680523
1,-194.1496593109125,10073.381880908986,-182.10144328485464,19213.161638174613,6744.918670890364,75,41,-552679.9515172171,8217.080373096254
1,-194.1496593109125,8879.555162036273,-142.66068449567047,19210.178734171855,6734.308947155476,75,42,-552679.9515172171,5029.3311161447145
1,-194.1496593109125,8353.656819327261,-140.02525466223764,19209.226406883106,6692.676020048316,75,43,-552679.9515172171,7600.426772435739
1,-155591.09683429473,6582.595725655988,-155591.09683429473,19212.140943461472,19782.155489734894,75,44,-552679.9515172171,6469.186197457436
1,-155591.09683429473,8130.910197470466,-182.59154496112805,19214.535008279967,6229.532148770646,75,45,-552679.9515172171,7156.564525419394
1,-155591.09683429473,8243.755648853728,-188.17387341651423,19211.05040215679,7081.473223232962,75,46,-552679.9515172171,5071.18512728735
1,-155591.09683429473,9035.935108051917,-186.03682564296804,19209.37395007015,6907.0700886449,75,47,-552679.9515172171,7952.766087674676
1,-155591.09683429473,8140.758493504353,-181.45516489767815,19214.484326151454,6918.506801721153,75,48,-552679.9515172171,7091.062539904822
1,-155591.09683429473,8035.902015620248,-166.09891124965287,19209.93796294805,6080.338835783565,75,49,-552679.9515172171,6906.7251623189
1,-155591.09683429473,7618.804577853803,-134.18401919232895,19209.35843361076,4779.596137124769,75,50,-552679.9515172171,6818.3266711095375
1,-155591.09683429473,7485.526165670614,-177.89732714341287,19210.74518853958,5962.9126400819505,75,51,-552679.9515172171,6463.603762101457
1,-155591.09683429473,8983.047801207756,-191.52363121755684,19210.509101122407,6985.966668162268,75,52,-552679.9515172171,8035.532063220859
1,-155591.09683429473,7952.829365867309,-147.967460426321,19209.682488196646,7057.975159430231,75,53,-552679.9515172171,6471.6000123352715
1,-155591.09683429473,6835.941810815651,-186.6531801490417,19209.502574253132,6359.690663677157,75,54,-552679.9515172171,6008.529687413023
1,-155591.09683429473,7957.416275960888,-174.6051918079306,19212.443526459407,5325.817763769604,75,55,-552679.9515172171,6476.661011137341
1,-155591.09683429473,7121.254456254972,-179.77694775074352,19209.27241704053,5727.268557262976,75,56,-552679.9515172171,6189.079403724419
1,-155591.09683429473,7315.350547357697,-194.09585864462244,19214.546280762876,6660.91926636139,75,57,-552679.9515172171,661.0293638498522
1,-155591.09683429473,7189.781065220457,-179.54119240843278,19211.28549830158,6929.7805928624075,75,58,-552679.9515172171,6095.3539643662925
1,-155591.09683429473,6424.865736805811,-180.26398338144978,19209.975405408317,6524.662703764847,75,59,-552679.9515172171,5889.366589261288
1,-155591.09683429473,6006.8536856720675,-194.23120176555156,19212.29666762611,6002.762418691227,75,60,-552679.9515172171,5363.901418563328
1,-155591.09683429473,7057.960418810281,-182.8502077449769,19209.458395195634,5564.414974206303,75,61,-580165.893907659,411.5171309065904
1,-155591.09683429473,10266.820014134211,-147.63053765369463,19209.184990026257,5483.545957991599,75,62,-580165.893907659,7806.416764909386
1,-155591.09683429473,13215.408291597407,-65.29733661527789,19211.651259735834,5097.159699551139,75,63,-580165.893907659,9226.293239482768
1,-155591.09683429473,12920.181652072612,-81.5211652849427,19209.76502098212,5588.62595827182,75,64,-580165.893907659,9457.445284183808
1,-155591.09683429473,9469.00069267939,-190.9886909875073,19217.16012759677,6570.94827671938,75,65,-580165.893907659,7217.105686154474
1,-155591.09683429473,8033.333240388537,-183.28986053666068,19210.90092766815,6326.917206036033,75,66,-580165.893907659,6606.112259771691
1,-155591.09683429473,8338.762588813734,-118.55112161955928,19210.750472483756,6023.382799233507,75,67,-580165.893907659,7308.173917875144
1,-155591.09683429473,9365.993410855208,-168.21220908432298,19212.668886594274,6720.512302899979,75,68,-580165.893907659,7774.355604959792
1,-155591.09683429473,10229.592565505516,-194.31504813968962,19140.061807363778,6706.603449658891,75,69,-580165.893907659,4334.362647319307
1,-155591.09683429473,9818.919431338665,-165.8812082725755,19209.452491572392,6115.820133642272,75,70,-580165.893907659,7557.17249610746
1,-155591.09683429473,10050.169897158527,-147.81189121715374,19209.272528919377,6700.950370042453,75,71,-580165.893907659,7621.23626543167
1,-155591.09683429473,9464.34978484869,-186.37521714834358,19213.52478878843,6370.432911891,75,72,-580165.893907659,7088.41914875625
1,-155591.09683429473,9225.937583305189,-176.71381063244087,19209.160622167517,5683.353800520938,75,73,-580165.893907659,7197.035175622506
1,-155591.09683429473,8856.79264524485,-190.28988850205428,19211.514634235715,6308.768340398425,75,74,-580759.7092076468,3307.7781382906023
1,-155591.09683429473,8413.726243908011,-146.80010664827685,19212.436037888452,5729.3385695668885,75,75,-580759.7092076468,6984.623724477846
1,-155591.09683429473,9937.775942282151,-173.17139972224086,19211.243718222726,6386.009576197511,75,76,-580759.7092076468,7435.33753270266
1,-155591.09683429473,9358.163870055007,-169.20658116797276,19209.06563303144,6296.4026479928925,75,77,-580759.7092076468,7666.497312527536
1,-155591.09683429473,8824.565474017829,-165.48985913813675,19210.771343671957,6333.055250481165,75,78,-580759.7092076468,4243.388170208998
1,-155591.09683429473,7644.405857653036,-179.0460089917208,19209.065177381886,6293.357692412228,75,79,-586040.143114202,2748.4068003127218
1,-155591.09683429473,9776.749482578849,-171.15486576147526,19215.33102703423,5910.638970048072,75,80,-586040.143114202,8111.319271611587
1,-155591.09683429473,9216.903869259779,-172.19538135934113,19214.196412984817,6148.896491018816,75,81,-586040.143114202,3836.6391480011057
1,-155591.09683429473,11756.836905439737,-146.28208243786386,19209.37947116004,5969.649047603972,75,82,-586040.143114202,8354.433627186412
1,-155591.09683429473,11812.591606313124,-167.82223247088402,19105.074125044735,6219.14038058577,75,83,-586040.143114202,8438.69019623658
1,-155591.09683429473,12682.39544121267,-118.15150960698229,19214.051797850178,6471.330472373013,75,84,-586040.143114202,8860.597172587566
1,-155591.09683429473,11979.56622637574,-187.44624768063426,19212.724133687432,6454.280124454071,75,85,-586040.143114202,1943.30243957407
1,-155591.09683429473,9661.25301535756,-185.41090427262952,19214.262270109157,6992.536300796671,75,86,-586040.143114202,7256.406857236965
1,-155591.09683429473,10250.013221376492,-181.7696646608822,19212.55598109573,6632.357436717407,75,87,-586040.143114202,3909.5592674982586
1,-155591.09683429473,11812.571335815082,-176.98799179497047,19209.455326171745,6441.790273362526,75,88,-586040.143114202,5111.116441889064
1,-155591.09683429473,11728.449783331522,-181.7754804198708,19137.808264193736,6738.346382786463,75,89,-586040.143114202,8387.881220906564
1,-155591.09683429473,11457.42015019818,-176.02287942989682,19215.0535526081,6647.068493808795,75,90,-586040.143114202,6663.425008827024
1,-155591.09683429473,11886.906845463078,-185.05122307611055,19209.124281887754,6296.625402426465,75,91,-586040.143114202,4642.971362508578
1,-155591.09683429473,12458.495185521571,-191.615007298286,19213.274805666042,6249.073923883729,75,92,-586040.143114202,8872.901933035004
1,-155591.09683429473,10959.019646418015,-169.4970797225557,19214.269947687015,6660.166727677678,75,93,-586040.143114202,8572.747310240147
1,-155591.09683429473,11945.767537118936,-187.1188863289015,19211.744029751415,6827.590315532287,75,94,-586040.143114202,446.9338441966497
1,-155591.09683429473,12339.898433772194,-145.25231004811172,19213.61504748237,6303.7822245034,75,95,-586040.143114202,5046.685105360841
1,-155591.09683429473,11674.888426050537,-164.87789954651615,19209.157064515253,6038.602723963918,75,96,-586040.143114202,-3085.865347596185
1,-155591.09683429473,11187.68251001579,-175.60004797562402,19210.23253132814,6985.196091110112,75,97,-588493.3496190237,26.970048738026527
1,-155591.09683429473,11133.588056764673,-152.41434403619883,19210.73625495183,6572.846795969463,75,98,-588493.3496190237,4316.553486473146
1,-155591.09683429473,11588.360193248933,-188.23749503920826,19209.08847380887,6688.991495516417,75,99,-588493.3496190237,4546.610537922992
1,-155591.09683429473,11023.530628794617,-172.88784880080038,19214.277846379653,6273.1202319324375,75,100,-588493.3496190237,-3695.99909111711
1,-155591.09683429473,12105.93061272602,-193.9102497159832,19214.212529588076,6487.513090606605,75,101,-588493.3496190237,-2725.3041601098466
1,-155591.09683429473,12912.713054159898,-133.0896127305263,19210.331379908253,6515.912770901039,75,102,-588772.3747578787,-2876.4725383198097
1,-155591.09683429473,13901.230996090108,-109.76234174447693,19215.572134399285,5965.083866797773,75,103,-588772.3747578787,9140.214193065893
1,-155591.09683429473,14320.846251568868,-62.57297907988303,19212.058347883227,5657.305290922027,75,104,-588785.8733006644,1936.3646882687283
1,-155591.09683429473,12987.83421526138,-176.16391720661542,19210.069671892412,6300.983144992616,75,105,-588785.8733006644,-2662.519139759963
1,-155591.09683429473,12200.207619038933,-127.26662010521343,19215.185576485615,6715.821687209498,75,106,-588785.8733006644,-3302.466966233508
1,-155591.09683429473,13364.300946016958,-133.3224586283692,19210.807476360274,6199.876950384842,75,107,-588785.8733006644,1178.4986590524818
1,-155591.09683429473,12753.805247699456,-66.14912312148903,19214.96215893851,6204.060238454085,75,108,-588785.8733006644,-6827.110724813196
1,-155591.09683429473,12737.793887801325,-130.8241968305799,19209.68976269073,6787.520706578301,75,109,-588785.8733006644,-6908.702528818721
1,-155591.09683429473,12477.457545643643,-161.85085151381986,19212.586509084194,6604.590563355649,75,110,-588785.8733006644,1158.9080742213641
