#{"t_start": 1741813880.028079, "env_id": "None"}
r,l,t
-0.042561,1,56.247623
-0.042478,1,56.258831
-0.042504,1,56.269821
-0.042514,1,56.281299
-0.042505,1,56.292608
-0.042277,75,57.144847
-0.042518,1,57.156272
-0.042617,1,57.167703
-0.042574,1,57.179048
-0.042518,1,57.190439
-0.041748,76,58.059891
-0.042518,1,58.071377
-0.042533,1,58.0829
-0.042597,1,58.09439
-0.042576,2,58.117183
-0.04261,1,58.12861
-0.042583,1,58.140423
-0.042522,1,58.152008
-0.037109,88,59.176868
-0.042518,1,59.188391
-0.039434,97,60.291055
-0.042554,2,60.314221
-0.042474,1,60.325926
-0.042492,1,60.337326
-0.042511,1,60.348594
-0.042518,1,60.35981
-0.042567,1,60.371518
-0.038667,78,61.265207
-0.042591,1,61.276716
-0.042544,1,61.288094
-0.04256,1,61.299335
-0.042496,1,61.310679
-0.042573,1,61.322002
-0.042573,1,61.333322
-0.042519,1,61.345107
-0.042563,1,61.356232
-0.042537,1,61.367424
-0.042528,1,61.378471
-0.042513,1,61.389472
-0.041451,80,62.305363
-0.03003,119,63.683014
-0.042518,1,63.694545
-0.04247,1,63.706004
-0.042586,1,63.717424
-0.040868,87,64.718739
-0.042478,1,64.730609
-0.042518,1,64.741929
-0.042518,1,64.753152
-0.042492,1,64.76437
-0.042518,1,64.775656
-0.042506,1,64.78691
-0.042518,1,64.798699
-0.042518,1,64.810271
-0.042518,1,64.821568
-0.042512,2,64.844747
-0.034632,104,66.062384
-0.044354,62,66.891018
-0.042518,1,66.906814
-0.042518,1,66.921831
-0.042583,1,66.935875
-0.042518,1,66.950411
-0.042599,2,66.982612
-0.042568,1,67.002983
-0.042522,1,67.017021
-0.042517,1,67.032067
-0.042527,1,67.047045
-0.042545,1,67.061731
-0.042499,1,67.079026
-0.042601,1,67.096002
-0.042479,1,67.112286
-0.039342,120,68.577302
-0.042518,1,68.58878
-0.042522,1,68.600268
-0.042554,1,68.612302
-0.042505,1,68.623723
-0.042518,1,68.635293
-0.042547,1,68.646986
-0.042495,1,68.65862
-0.042604,1,68.670066
-0.042596,1,68.681464
-0.042518,1,68.692872
-0.042484,1,68.704352
-0.042518,1,68.716282
-0.042555,2,68.73946
-0.042518,1,68.750945
-0.042541,1,68.762366
-0.042605,4,68.807757
-0.042561,1,68.819097
-0.042579,1,68.830404
-0.042574,1,68.841766
-0.042585,1,68.853117
-0.042604,1,68.864579
-0.042496,2,68.887538
-0.042518,1,68.899205
-0.042501,1,68.911158
-0.042509,1,68.922784
-0.042538,3,68.956768
-0.042518,1,68.968251
-0.042505,1,68.982092
-0.042536,1,68.993824
-0.042542,1,69.006027
-0.030841,132,70.516062
-0.04253,1,70.530971
-0.042525,1,70.542489
-0.04262,2,70.565098
-0.042582,1,70.576333
-0.038883,85,71.550883
-0.042561,1,71.562414
-0.042518,1,71.573685
-0.042523,1,71.584928
-0.04258,2,71.60731
-0.035246,95,72.693379
-0.04255,1,72.704964
-0.042554,1,72.716305
-0.042543,1,72.727607
-0.042583,1,72.738981
-0.042553,1,72.75041
-0.042602,1,72.762903
-0.038677,74,73.641324
-0.042486,1,73.653175
-0.042518,1,73.664877
-0.042518,1,73.676501
-0.042581,1,73.688116
-0.04254,1,73.699764
-0.042564,1,73.711262
-0.042528,1,73.722928
-0.042518,1,73.734438
-0.042518,1,73.745903
-0.035864,95,74.844206
-0.038627,76,75.725333
-0.042617,3,75.759835
-0.042518,1,75.771303
-0.042518,1,75.782803
-0.042521,1,75.794266
-0.042576,1,75.80599
-0.042525,1,75.817541
-0.042518,1,75.828994
-0.042608,1,75.840486
-0.042518,1,75.851939
-0.042584,1,75.863603
-0.042518,1,75.875262
-0.042498,1,75.886947
-0.037346,91,76.940665
-0.042524,1,76.952175
-0.042518,1,76.963584
-0.042518,1,76.975796
-0.042518,1,76.988115
-0.039667,108,78.241809
-0.042496,1,78.253188
-0.042565,1,78.264482
-0.042573,1,78.275832
-0.035143,85,79.28541
-0.04256,1,79.296756
-0.038475,124,80.735621
-0.042596,1,80.747293
-0.042495,1,80.758865
-0.042518,1,80.772702
-0.042519,1,80.787122
-0.035613,86,82.020965
-0.042518,1,82.037649
-0.042518,1,82.054003
-0.042583,1,82.070915
-0.042532,1,82.087233
-0.042518,1,82.102952
-0.04253,1,82.116282
-0.042595,1,82.129436
-0.042313,2,82.155066
-0.042518,1,82.167415
-0.042606,1,82.179769
-0.042506,1,82.192112
-0.042518,1,82.204441
-0.042518,1,82.216627
-0.042559,1,82.228693
-0.042558,1,82.240733
-0.042554,3,82.276691
-0.042518,1,82.288799
-0.042535,1,82.300716
-0.042518,1,82.312495
-0.042546,1,82.324325
-0.042518,1,82.336323
-0.042544,3,82.372069
-0.042518,1,82.384061
-0.038065,80,83.336126
-0.04263,6,83.40872
-0.042518,1,83.421107
-0.042568,1,83.433327
-0.042486,1,83.44548
-0.0425,1,83.45779
-0.042518,1,83.469926
-0.042935,76,84.428828
-0.042517,1,84.441006
-0.04251,1,84.45315
-0.042524,1,84.465339
-0.042518,1,84.477464
-0.042492,1,84.489587
-0.042518,1,84.501722
-0.042518,1,84.515973
-0.042494,1,84.530608
-0.042543,1,84.542971
-0.042572,1,84.555207
-0.042553,1,84.567414
-0.042569,1,84.579554
-0.042518,1,84.591699
-0.042599,1,84.603838
-0.040019,77,85.55126
-0.042533,1,85.563489
-0.042575,1,85.575664
-0.042518,1,85.587809
-0.042518,1,85.599939
-0.042526,1,85.612082
-0.04247,1,85.624228
-0.042491,1,85.636778
-0.042523,1,85.648963
-0.042582,2,85.673201
-0.042601,2,85.69741
-0.042601,1,85.709543
-0.042518,1,85.721726
-0.042538,1,85.734126
-0.042474,1,85.746307
-0.042518,1,85.758479
-0.042518,1,85.770623
-0.038295,78,86.742748
-0.042478,74,87.691879
-0.033886,92,88.870994
-0.042535,1,88.88419
-0.042584,1,88.897327
-0.042584,1,88.910481
-0.041525,73,89.908828
-0.042518,1,89.921994
-0.042518,1,89.935152
-0.044118,80,91.017061
-0.042518,1,91.031482
-0.042569,1,91.045169
-0.04047,80,92.196866
-0.042518,1,92.210613
-0.042593,1,92.224418
-0.042518,1,92.238409
-0.042496,1,92.252129
-0.042518,1,92.265886
-0.042518,1,92.279852
-0.042518,1,92.293713
-0.042365,3,92.334795
-0.042324,2,92.361916
-0.037259,78,93.40854
-0.043085,99,94.755766
-0.042478,1,94.769327
-0.042582,4,94.823116
-0.032423,103,96.214377
-0.042575,2,96.241272
-0.042567,3,96.281616
-0.041392,96,97.575635
-0.042544,1,97.589191
-0.042518,1,97.602699
-0.043095,85,98.750364
-0.042518,1,98.763936
-0.042518,1,98.777428
-0.042487,1,98.793822
-0.042518,1,98.811362
-0.042518,1,98.828556
-0.042518,1,98.844454
-0.042518,1,98.861882
-0.042503,1,98.882145
-0.042584,1,98.901538
-0.042518,1,98.921619
-0.042593,1,98.936842
-0.042541,1,98.951729
-0.042536,2,98.981858
-0.039565,77,100.304419
-0.042518,1,100.319189
-0.042494,2,100.348344
-0.042566,1,100.362656
-0.042518,1,100.377004
-0.042495,1,100.391476
-0.042537,1,100.405843
-0.042529,1,100.420147
-0.042598,2,100.448618
-0.042518,1,100.462508
-0.03312,102,101.851247
-0.042567,1,101.8644
-0.042518,1,101.877523
-0.042546,1,101.890634
-0.042518,1,101.903735
-0.042482,4,101.956584
-0.042518,1,101.969946
-0.042518,1,101.984608
-0.042514,1,101.998297
