Time [s],Altitude [m],Velocity [m/s],Non-NominalThrottle,Propellant Mass [kg],Total Mass [kg]
24.037815035076516,3044.018842379645,-76.79441562976412,0.8434417932273259,533677.5724339687,901690.4789558565
24.221309806336645,3029.9556513970665,-76.68054518667581,0.84324411188395,533183.7476977694,901196.6542196573
24.40480457759677,3015.9133132561337,-76.56619920741163,0.843046030486625,532690.0389629658,900702.9454848537
24.588299348856896,3001.8919150407323,-76.45137913765502,0.8428471555538546,532196.4466942719,900209.3532161597
24.771794120117022,2987.891543570002,-76.33608437605632,0.8426483913468487,531702.9708268438,899715.8773487316
24.955288891377148,2973.912285773207,-76.22031579219235,0.8424490880667418,531209.6116763762,899222.5181982641
25.138783662637273,2959.954228420367,-76.10407307890362,0.842249764870664,530716.3692545325,898729.2757764204
25.3222784338974,2946.017458337753,-75.98735479285645,0.8420509217418543,530223.2432801733,898236.1498020611
25.505773205157528,2932.1020626159484,-75.87016300404613,0.8418510094834335,529730.2343794074,897743.1409012952
25.689267976417653,2918.2081279664644,-75.75249720502867,0.8416511642055323,529237.3425130094,897250.2490348973
25.87276274767778,2904.335741193738,-75.63435754124383,0.8414510977363878,528744.5678105145,896757.4743324023
26.056257518937905,2890.484989075574,-75.51574385631346,0.8412509425144008,528251.9103238984,896264.8168457863
26.23975229019803,2876.6559584184124,-75.39665828941847,0.841049688839754,527759.3706964424,895772.2772183303
26.423247061458156,2862.848735636951,-75.27709761513813,0.8408496952904991,527266.9481901858,895279.8547120737
26.60674183271828,2849.063407736551,-75.15706619974665,0.8406476245392415,526774.6440215897,894787.5505434775
26.79023660397841,2835.3000609229885,-75.03656005230818,0.8404471484375075,526282.4572567876,894295.3637786754
26.973731375238536,2821.5587821328895,-74.91558065278116,0.8402458627232877,525790.3883699088,893803.2948917967
27.15722614649866,2807.8396580318595,-74.7941293652284,0.840043819089376,525298.4378048099,893311.3443266978
27.340720917758787,2794.1427750357057,-74.67220505964514,0.8398421114689859,524806.605364713,892819.5118866009
27.524215689018913,2780.4682197671705,-74.54980838235217,0.8396399602254305,524314.891309415,892327.7978313029
27.70771046027904,2766.816078730638,-74.42693834599416,0.8394380808349173,523823.29547971184,891836.2020015997
27.891205231539164,2753.186438611303,-74.30359729210672,0.8392350150526161,523331.8185703841,891344.725092272
28.074700002799293,2739.579385665561,-74.17978208209921,0.8390331617633093,522840.4598713658,890853.3663932537
28.25819477405942,2725.995006724571,-74.05549590423662,0.8388297514472012,522349.2202944905,890362.1268163784
28.441689545319544,2712.4333880356307,-73.93073711978427,0.8386268959510037,521858.09951484186,889871.0060367298
28.62518431657967,2698.894616146137,-73.80550687570832,0.8384233765808917,521367.09792120097,889380.0044430888
28.808679087839796,2685.378777393445,-73.67980300967051,0.838220638694644,520876.21505591145,888889.1215777993
28.99217385909992,2671.885958510894,-73.55363091119979,0.8380153845197937,520385.4523925745,888398.3589144624
29.175668630360047,2658.4162452448504,-73.42697682931883,0.837815966598122,519894.80651333503,887907.7130352228
29.359163401620172,2644.969725859867,-73.29983368487578,0.8376194637963875,519404.2757110263,887417.1822329141
29.5426581728803,2631.5464899168865,-73.17248651563096,0.8372985868068596,518913.93282226764,886926.8393441555
29.726152944140427,2618.1465747785173,-73.0450912048046,0.8369098353652729,518423.81759602734,886436.7241179151
29.909647715400553,2604.769989260821,-72.91397969206923,0.8381178902876456,517932.9949027618,885945.9014246496
30.09314248666068,2591.41741390361,-72.79060922551099,0.8343387899790893,517444.38534468063,885457.2918665685
30.276637257920804,2578.087431106269,-72.65636418998714,0.8386602982215602,516953.2450038311,884966.151525719
30.46013202918093,2564.7820323044903,-72.54403215172918,0.8287235610489683,516467.92386354733,884480.8303854351
30.643626800441055,2551.4972046196935,-72.40851036905974,0.8383958607109925,515976.9383838846,883989.8449057725
30.827121571701184,2538.2371947383313,-72.28259369823073,0.8338125825133109,515488.6369859901,883501.543507878
31.01061634296131,2525.000243697579,-72.15322451085113,0.8349029781162645,514999.6970252958,883012.6035471837
31.194111114221435,2511.786983749135,-72.02327339187116,0.8347459777814122,514510.84900790465,882523.7555297925
31.37760588548156,2498.5975214608407,-71.89296035298014,0.8344933435644015,514022.14893939777,882035.0554612856
31.561100656741687,2485.4319231102877,-71.76217665705373,0.8342877370021486,513533.5692792103,881546.4758010982
31.744595428001812,2472.2902748878546,-71.63092441477905,0.8340810480693325,513045.11066120537,881058.0171830932
31.928090199261938,2459.1726625973947,-71.49921711153509,0.8338683536642344,512556.776602337,880569.6831242249
32.11158497052207,2446.0791695732137,-71.36705397522584,0.833655834724282,512068.56699984847,880081.4735217363
32.29507974178219,2433.00987929101,-71.23443547579726,0.8334429529223963,511580.48206624074,879593.3885881286
32.47857451304232,2419.964875140421,-71.10136175351975,0.8332298507325715,511092.52193057846,879105.4284524664
32.66206928430245,2406.944240485398,-70.96783219024343,0.833016855517702,510604.6865302144,878617.5930521023
32.84556405556257,2393.9480588030915,-70.83384687646206,0.8328036602380298,510116.97598231153,878129.8825041994
33.0290588268227,2380.9764135540804,-70.69940651690075,0.8325899993823527,509629.3905595227,877642.2970814107
33.21255359808282,2368.029388069889,-70.56451072985956,0.8323763418333519,509141.9302599115,877154.8367817993
33.39604836934295,2355.1070657519417,-70.4291586831386,0.8321628810592763,508654.59496824164,876667.5014901295
33.57954314060307,2342.209530154061,-70.29335098143535,0.8319489965547195,508167.38493266015,876180.291454548
33.7630379118632,2329.336864719334,-70.15708836901258,0.8317346282668898,507680.30043648265,875693.2069583705
33.94653268312333,2316.4891527545506,-70.02037083351179,0.8315201021729338,507193.3415721243,875206.2480940121
34.13002745438345,2303.6664775687655,-69.88319606330674,0.8313064073191256,506706.5078527901,874719.4143746779
