time[s],x[m],y[m],vx[m/s],vy[m/s],theta[rad],theta_dot[rad/s],gamma[rad],alpha[rad],mass[kg],mass_propellant[kg],u0
531.7000000000523,26364.068291027914,1777.4196533544757,8.600004228171864,-65.77625681296678,1.7016912390617247,0.0015366381625455646,4.842397841651809,-3.1407066025900843,604968.9290694478,158134.2850557364,-0.8706357604191168
531.8000000000524,26364.926140475687,1770.866289112509,8.57849447774686,-65.53364241966538,1.7018444637738988,0.0015322471217406742,4.84255103575644,-3.140706571982541,604922.5721121891,158087.9280984777,-0.8711462353792879
531.9000000000524,26365.78184018918,1764.3370972454695,8.556997134900172,-65.2919186703947,1.7019972502278742,0.0015278645397536737,4.842703791394727,-3.1407065411668524,604876.3984896732,158041.75447596176,-0.8716558324965978
532.0000000000524,26366.63539141597,1757.831989235298,8.535512267925313,-65.05108010171688,1.7021495992721074,0.0015234904423323072,4.842856109384307,-3.1407065101122,604830.4070491854,157995.763035474,-0.8721622255294857
532.1000000000524,26367.486795467612,1751.3508766734585,8.51404051641635,-64.8111256183934,1.7023015117562466,0.0015191248413925,4.843007990602486,-3.1407064788462398,604784.5974157808,157949.95340206937,-0.8726675763652804
532.2000000000525,26368.336053666175,1744.8936716617343,8.492581985634562,-64.57205011724174,1.7024529885323343,0.0015147677608770144,4.843159435874831,-3.140706447342497,604738.9685033051,157904.32448959374,-0.8731699081278773
532.3000000000525,26369.183167392926,1738.4602864404574,8.471137267519884,-64.33385221276825,1.702604030453633,0.0015104192129875044,4.843310446078238,-3.140706415624605,604693.5198876427,157858.87587393136,-0.8736710610186154
532.4000000000525,26370.0281380427,1732.0506337294307,8.449706497754331,-64.09652711026702,1.7027546383756373,0.0015060792200431146,4.843461022045433,-3.1407063836697953,604648.2505399517,157813.60652624042,-0.8741693541413744
532.5000000000525,26370.87096706538,1725.664626411297,8.428290226806814,-63.860073181337704,1.702904813155076,0.0015017477943852732,4.843611164653342,-3.140706351498266,604603.1599953425,157768.51598163118,-0.8746663550570286
532.6000000000525,26371.711655926905,1719.3021778216958,8.406888615250631,-63.62448589601199,1.7030545556507624,0.0014974249568651108,4.843760874741173,-3.1407063190904108,604558.2472744697,157723.6032607584,-0.8751606337853161
532.7000000000526,26372.55020614464,1712.9632014794,8.385502177331452,-63.38976342295747,1.7032038667227465,0.0014931107198408518,4.84391015318624,-3.1407062864634936,604513.5118787534,157678.86786504212,-0.8756535266611246
532.8000000000526,26373.386619254023,1706.6476113334031,8.364131093842838,-63.15590145996892,1.7033527472330292,0.0014888051028269908,4.84405900083364,-3.1407062536006114,604468.9528717343,157634.30885802303,-0.8761438165552883
532.9000000000526,26374.22089683875,1700.3553215327481,8.342775847265507,-62.92289800655074,1.7035011980448391,0.001484508118098704,4.844207418561354,-3.140706220516515,604424.569727121,157589.92571340976,-0.8766326435704329
533.0000000000526,26375.053040502215,1694.08624663705,8.321436634666611,-62.690748956980855,1.7036492200232336,0.0014802197839450936,4.844355407219848,-3.1407061871966144,604380.361545744,157545.71753203275,-0.8771189712544276
533.1000000000527,26375.88305189327,1687.8403014200355,8.30011391055381,-62.459452170143365,1.7037968140344812,0.0014759401124753632,4.844502967687995,-3.1407061536535137,604336.3277786492,157501.6837649379,-0.8776037730659897
533.2000000000527,26376.710932681763,1681.6174010490038,8.278807884932615,-62.22900371031678,1.7039439809465662,0.0014716691208503782,4.84465010082116,-3.1407061198745936,604292.4675592149,157457.8235455036,-0.8780861660169185
533.3000000000527,26377.53668458052,1675.4174609170134,8.257518987566563,-61.999401319903924,1.7040907216286605,0.0014674068209435712,4.844796807499282,-3.1407060858706215,604248.7803200892,157414.13630637788,-0.8785669819565985
533.4000000000527,26378.360309324376,1669.2403967959388,8.236247438581177,-61.770641210745374,1.7042370369515474,0.0014631532288687848,4.84494308858222,-3.140706051630672,604205.2652231771,157370.62120946587,-0.8790454683283714
533.5000000000528,26379.18180868895,1663.0861246930199,8.214993645748459,-61.54272102918782,1.7043829277871685,0.0014589083562100563,4.8450889449511,-3.1407060171639314,604161.9216863329,157327.27767262165,-0.8795223365678035
533.6000000000528,26380.001184472643,1656.954560981459,8.193757836932502,-61.3156371156072,1.704528395008979,0.0014546722181040647,4.845234377469902,-3.140705982460923,604118.7488965746,157284.10488286335,-0.8799969450433751
533.7000000000528,26380.818425701735,1650.84571750147,8.172412290921411,-61.088434799889924,1.7046734394915588,0.0014504448257983752,4.84537937545898,-3.140705935967421,604075.57720588,157240.9331921687,-0.88
533.8000000000528,26381.633521368127,1644.7596066947024,8.150956663910648,-60.86110806767645,1.7048180616609974,0.00144622169438562,4.845523942457845,-3.1407058807968475,604032.4055151853,157197.76150147407,-0.88
533.9000000000528,26382.446460503554,1638.696240983644,8.129391354270933,-60.63365711058441,1.704962261627629,0.0014419996663156264,4.845668080653795,-3.1407058190261656,603989.2338244907,157154.58981077943,-0.88
534.0000000000529,26383.257232173823,1632.6556327702694,8.107716702687187,-60.406082133745294,1.7051060392745612,0.00143777646932229,4.84581179129141,-3.1407057520168484,603946.062133796,157111.4181200848,-0.88
534.1000000000529,26384.06582547507,1626.6377944350847,8.085933012488473,-60.178383351846435,1.705249394316007,0.0014335504144590272,4.845955074995326,-3.1407056806793197,603902.8904431014,157068.24642939016,-0.88
534.2000000000529,26384.872229531313,1620.6427383364205,8.064040562427966,-59.95056098664252,1.7053923263366444,0.0014293202063736226,4.846097931973377,-3.1407056056367324,603859.7187524068,157025.07473869552,-0.88
534.3000000000529,26385.676433492794,1614.6704768098832,8.042039614808818,-59.72261526537312,1.70553483481892,0.0014250848227576878,4.846240362145801,-3.1407055273268814,603816.5470617121,156981.90304800088,-0.88
534.400000000053,26386.478426534868,1608.721022167909,8.019930420725935,-59.49454641974167,1.7056769191625851,0.0014208434366513299,4.846382365228552,-3.1407054460659665,603773.3753710175,156938.73135730624,-0.88
534.500000000053,26387.27819785722,1602.7943866993846,7.997713223509171,-59.26635468524464,1.7058185786991316,0.0014165953654636362,4.84652394078791,-3.1407053620887786,603730.2036803229,156895.5596666116,-0.88
534.600000000053,26388.075736683324,1596.8905826693126,7.975388261035548,-59.03804030072096,1.7059598127028102,0.0014123400367849932,4.8466650882770725,-3.1407052755742626,603687.0319896282,156852.38797591696,-0.88
534.700000000053,26388.871032260056,1591.0096223185085,7.952955767322354,-58.80960350804118,1.706100620399297,0.0014080769648693167,4.846805807061233,-3.1407051866619358,603643.8602989336,156809.21628522233,-0.88
534.800000000053,26389.66407385742,1585.15151786332,7.930415973658096,-58.58104455188661,1.7062410009726938,0.0014038057339681245,4.846946096435317,-3.1407050954626228,603600.6886082389,156766.0445945277,-0.88
534.9000000000531,26390.454850768365,1579.3162814953612,7.907769109429922,-58.352363679587334,1.70638095357131,0.0013995259861600117,4.847085955636877,-3.140705002065567,603557.5169175443,156722.87290383305,-0.88
535.0000000000531,26391.24335230864,1573.5039253812613,7.885015402748912,-58.1235611409993,1.7065204773125269,0.0013952374121697232,4.847225383855785,-3.1407049065432586,603514.3452268497,156679.7012131384,-0.88
535.1000000000531,26392.029567816735,1567.7144616624205,7.862155080936816,-57.89463718840829,1.7066595712869501,0.0013909397442333682,4.847364380241748,-3.1407048089547978,603471.173536155,156636.52952244377,-0.88
535.2000000000531,26392.813486653828,1561.9479024547752,7.839188370915118,-57.665592076452576,1.7067982345619905,0.001386632750403451,4.847502943910282,-3.1407047093482916,603428.0018454604,156593.35783174913,-0.88
535.3000000000532,26393.59509820378,1556.2042598485693,7.816115499523572,-57.43642606205917,1.7069364661849797,0.0013823162298912995,4.847641073947606,-3.140704607762626,603384.8301547657,156550.1861410545,-0.88
535.4000000000532,26394.374391873156,1550.4835459081303,7.792936693785765,-57.20713940439015,1.7070742651858986,0.0013779900091871783,4.847778769414709,-3.14070450422881,603341.6584640711,156507.01445035986,-0.88
535.5000000000532,26395.15135709127,1544.7857726716506,7.769652181133966,-56.97773236479671,1.7072116305797762,0.0013736539387767229,4.847916029350797,-3.140704398771021,603298.4867733765,156463.84275966522,-0.88
535.6000000000532,26395.925980081767,1539.1109755163372,7.746229904990005,-56.74797155313478,1.7073485616753132,0.0013693109553695696,4.848052846023503,-3.14070428434819,603255.3150826818,156420.67106897058,-0.88
535.7000000000533,26396.6982503498,1533.459166260768,7.722702680326472,-56.51809255569434,1.7074850572188944,0.0013649554358125314,4.848189227544329,-3.140704170325434,603212.1433919872,156377.49937827594,-0.88
535.8000000000533,26397.468157418007,1527.8303566960049,7.699070682080798,-56.28809564763003,1.707621116030502,0.0013605881160748748,4.848325171941394,-3.1407040559108914,603168.9717012926,156334.3276875813,-0.88
535.9000000000533,26398.235690828602,1522.2245585857333,7.675334105960043,-56.057981102714905,1.7077567369759767,0.001356209454747347,4.848460677568864,-3.1407039405928874,603125.8000105979,156291.15599688666,-0.88
536.0000000000533,26399.00084014475,1516.6417836662806,7.651493161449253,-55.82774919452805,1.7078919189496307,0.0013518197365388568,4.848595742987821,-3.1407038240381904,603082.6283199033,156247.98430619203,-0.88
536.1000000000533,26399.763594951488,1511.0820436465601,7.6275480673877905,-55.597400197205715,1.7080266608634065,0.0013474191377581763,4.8487303668905675,-3.140703706027161,603039.4566292086,156204.8126154974,-0.88
536.2000000000534,26400.523944856406,1505.5453502079686,7.603499049170628,-55.36693438591573,1.7081609616401805,0.0013430077677403008,4.848864548052552,-3.1407035864123714,602996.284938514,156161.64092480275,-0.88
536.3000000000534,26401.281879490103,1500.0317150042529,7.579346336978969,-55.13635203715652,1.708294820209684,0.0013385856950350681,4.848998285301835,-3.1407034650921517,602953.1132478194,156118.4692341081,-0.88
536.4000000000534,26402.03738850657,1494.5411496613583,7.555090164663802,-54.90565342894469,1.708428235506077,0.0013341529639294156,4.849131577499746,-3.1407033419936687,602909.9415571247,156075.29754341347,-0.88
536.5000000000534,26402.790461583474,1489.0736657772652,7.530730769043613,-54.674838840931756,1.7085612064665607,0.001329709604837511,4.849264423528656,-3.1407032170620957,602866.7698664301,156032.12585271883,-0.88
536.6000000000535,26403.541088422422,1483.6292749218176,7.506268389465041,-54.44390855447589,1.7086937320306406,0.0013252556407973607,4.849396822284298,-3.1407030902536572,602823.5981757354,155988.9541620242,-0.88
536.7000000000535,26404.289258749173,1478.207988636549,7.481703267530515,-54.212862852685,1.70882581113979,0.0013207910914937468,4.8495287726709835,-3.1407029615311934,602780.4264850408,155945.78247132956,-0.88
536.8000000000535,26405.034962313868,1472.809818434505,7.4570356469314545,-53.98170202044163,1.7089574427373617,0.0013163159757169033,4.849660273598664,-3.140702830861302,602737.2547943462,155902.61078063492,-0.88
536.9000000000535,26405.778188891203,1467.4347758000633,7.432265773348393,-53.75042634441632,1.7090886257686446,0.001311830312828839,4.849791323981169,-3.1407026982125243,602694.0831036515,155859.43908994028,-0.88
537.0000000000535,26406.518928280642,1462.082872188756,7.407393894393026,-53.51903611307367,1.7092193591810054,0.0013073341236069706,4.849921922735182,-3.1407025635541763,602650.9114129569,155816.26739924564,-0.88
537.1000000000536,26407.2571703066,1456.7541190270886,7.3824202595765565,-53.28753161667381,1.7093496419240752,0.0013028274306969988,4.850052068779692,-3.1407024268556167,602607.7397222623,155773.095708551,-0.88
537.2000000000536,26407.992904818628,1451.4485277123615,7.3573451202941245,-53.05591314727102,1.7094794729499578,0.0012983102588256113,4.850181761035734,-3.1407022880857762,602564.5680315676,155729.92401785636,-0.88
537.3000000000536,26408.72612169161,1446.1661096124903,7.332168729819181,-52.82418099871056,1.7096088512134442,0.0012937826348643597,4.850310998426311,-3.140702147212867,602521.396340873,155686.75232716172,-0.88
537.4000000000536,26409.456810825937,1440.9068760658279,7.306891343303437,-52.59233546662444,1.7097377756722252,0.0012892445878092788,4.850439779876418,-3.140702004204193,602478.2246501783,155643.5806364671,-0.88
537.5000000000537,26410.184962147716,1435.6708383809853,7.2815132177803,-52.36037684842653,1.7098662452870959,0.001284696148707077,4.850568104313148,-3.1407018590260525,602435.0529594837,155600.40894577245,-0.88
537.6000000000537,26410.910565608934,1430.4580078366546,7.256034612169508,-52.12830544330741,1.709994259022152,0.001280137350562109,4.850695970665806,-3.140701711643654,602391.8812687891,155557.2372550778,-0.88
537.7000000000537,26411.633611187663,1425.2683956814317,7.2304557872828505,-51.89612155222888,1.7101218158449745,0.0012755682282255063,4.850823377866062,-3.1407015620210874,602348.7095780944,155514.06556438317,-0.88
537.8000000000537,26412.354088888245,1420.1020131336397,7.204777005829538,-51.66382547791852,1.7102489147268032,0.001270988818288091,4.8509503248480925,-3.1407014101212893,602305.5378873998,155470.89387368853,-0.88
537.9000000000538,26413.07198874149,1414.9588713811534,7.178998532421525,-51.431417524864194,1.7103755546427004,0.0012663991589722187,4.8510768105487365,-3.140701255906036,602262.3661967051,155427.7221829939,-0.88
538.0000000000538,26413.78730080485,1409.8389815812225,7.153120633578205,-51.198897999308514,1.7105017345717035,0.0012617992900316782,4.851202833907632,-3.140701099335928,602219.1945060105,155384.55049229925,-0.88
538.1000000000538,26414.500015162623,1404.742354860298,7.127143577730466,-50.96626720924342,1.7106274534969694,0.001257189252659434,4.851328393867353,-3.140700940370383,602176.0228153159,155341.37880160462,-0.88
538.2000000000538,26415.210121926146,1399.6690023138576,7.101067635224188,-50.73352546440476,1.7107527104059097,0.0012525690894021645,4.851453489373535,-3.1407007789676253,602132.8511246212,155298.20711090998,-0.88
538.3000000000538,26415.917611233977,1394.618935006231,7.074893078323104,-50.50067307626688,1.710877504290318,0.0012479388440828825,4.851578119374999,-3.140700615084681,602089.6794339266,155255.03542021534,-0.88
538.4000000000539,26416.622473252097,1389.5921639704272,7.048620181210925,-50.267710358037306,1.7110018341464912,0.0012432985617330046,4.851702282823853,-3.1407004486773618,602046.507743232,155211.8637295207,-0.88
538.5000000000539,26417.324698174096,1384.5887002079621,7.022249219992997,-50.03463762465144,1.7111256989753443,0.0012386482885300084,4.851825978675602,-3.1407002797002574,602003.3360525373,155168.69203882606,-0.88
538.6000000000539,26418.024276221364,1379.6085546886854,6.995780472697341,-49.80145519276726,1.7112490977825185,0.0012339880717427984,4.8519492058892375,-3.140700108106719,601960.1643618427,155125.52034813142,-0.88
538.7000000000539,26418.72119764329,1374.6517383506095,6.969214219275161,-49.56816338076007,1.7113720295784869,0.0012293179596836706,4.8520719634273295,-3.1406999338488424,601916.992671148,155082.34865743679,-0.88
538.800000000054,26419.41545271745,1369.7182620997378,6.942550741600915,-49.334762508717276,1.7114944933786533,0.001224638001665356,4.852194250256101,-3.1406997568774475,601873.8209804534,155039.17696674215,-0.88
538.900000000054,26420.107031749798,1364.8081368098944,6.915790323471942,-49.10125289843311,1.7116164882034497,0.001219948247963334,4.852316065345509,-3.140699577142059,601830.6492897588,154996.0052760475,-0.88
539.000000000054,26420.795925074857,1359.921373322554,6.888933250607672,-48.86763487340342,1.711738013078428,0.0012152487497829963,4.852437407669314,-3.1406993945908863,601787.4775990641,154952.83358535287,-0.88
539.100000000054,26421.48212305592,1355.057982446672,6.861979810648393,-48.63390875882043,1.7118590670343512,0.0012105395592320904,4.852558276205142,-3.1406992091707906,601744.3059083695,154909.66189465823,-0.88
539.200000000054,26422.165616085236,1350.2179749585152,6.834930293153821,-48.400074881567505,1.7119796491072807,0.0012058207292947056,4.852678669934544,-3.1406990208272636,601701.1342176748,154866.4902039636,-0.88
539.3000000000541,26422.846394584198,1345.4013616014938,6.807784989601193,-48.16613357021388,1.712099758338662,0.0012010923138111806,4.852798587843061,-3.1406988295043994,601657.9625269802,154823.31851326895,-0.88
539.4000000000541,26423.524449003537,1340.6081530859929,6.780544193383052,-47.93208515500943,1.712219393775408,0.0011963543674610654,4.852918028920262,-3.1406986351448536,601614.7908362856,154780.14682257432,-0.88
539.5000000000541,26424.199769823517,1335.838360089205,6.753208199805005,-47.69792996787934,1.7123385544699825,0.0011916069457453926,4.853036992159804,-3.1406984376898217,601571.6191455909,154736.97513187968,-0.88
539.6000000000541,26424.872347554126,1331.0919932549632,6.725777306082863,-47.46366834241882,1.7124572394804802,0.0011868501049767208,4.853155476559476,-3.140698237078996,601528.4474548963,154693.80344118504,-0.88
