time[s],x[m],y[m],vx[m/s],vy[m/s],theta[rad],theta_dot[rad/s],alpha[rad],gamma[rad],mass[kg],mass_propellant[kg],gimbalanglecommanded[deg],u0
114.09999999999779,46877.84793773594,72317.6481867845,1340.2974685342535,1347.2133336798513,2.9585273116237465,0.0739266551560216,2.170555819079408,0.7879714925443381,1447918.9299835882,1103637.5609332586,0.19670026448413847,0.019670026448413848
114.19999999999779,47011.76049011871,72452.29565622241,1339.1255238277015,1346.4746943791915,2.9660710947722073,0.07543783148460997,2.1779364286901695,0.7881346660820374,1447439.2445314256,1103157.875481096,0.4796346496152557,0.04796346496152557
114.29999999999778,47145.55561458301,72586.86821051444,1337.951244643074,1345.725542920316,2.9736784342989635,0.07607339526756628,2.1853833957762205,0.7882950385227429,1446959.5590792631,1102678.1900289336,0.7167697734580658,0.07167697734580658
114.39999999999777,47279.233082709805,72721.36476970061,1336.7746812679454,1344.9655918617004,2.9812524815856776,0.07574047286713634,2.1928000011071864,0.7884524804784908,1446479.8736271006,1102198.504576771,0.8951689970895718,0.08951689970895718
114.49999999999777,47412.792676165416,72855.7842520298,1335.595934556117,1344.1948232919108,2.9886947646490305,0.074422830633531,2.200087821163647,0.7886069434853831,1446000.188174938,1101718.8191246085,1.0069261526543984,0.10069261526543985
114.59999999999776,47546.23419064743,72990.12560030677,1334.4151448201567,1343.4134827697171,2.995912362567593,0.07217597918562607,2.2071539004608622,0.7887584621067303,1445520.5027227756,1101239.133672446,1.049318136243123,0.1049318136243123
114.69999999999776,47679.55743853096,73124.38780582573,1333.2324788352394,1342.622055189577,3.0028241367692394,0.06911774201646836,2.2139169867295796,0.7889071500396599,1445040.817270613,1100759.4482202835,1.0245905818911396,0.10245905818911397
114.79999999999775,47812.76225020795,73258.56992837875,1332.048116769876,1341.821225530233,3.0093656653238163,0.06541528554577188,2.220312474702215,0.7890531906216014,1444561.1318184505,1100279.762768121,0.9394196185756973,0.09394196185756973
114.89999999999775,47945.84847425305,73392.67111121156,1330.862240451047,1341.0118283280983,3.015492642679862,0.0612697735604495,2.226295820065379,0.7891968226144828,1444081.446366288,1099800.0773159584,0.8041116539477118,0.08041116539477118
114.99999999999774,48078.81597663592,73526.69059023705,1329.6750238286902,1340.1947902548434,3.021182630837039,0.05689988157177834,2.2318443082860155,0.7893383225510241,1443601.7609141255,1099320.391863796,0.6316163203253131,0.0631616320325313
115.09999999999773,48211.66463923227,73660.62769727192,1328.4866259635512,1339.3710703487864,3.026435169690637,0.05252538853597302,2.236957184490892,0.7894779851997444,1443122.075461963,1098840.7064116334,0.4364346919180013,0.043643469191800136
115.19999999999773,48344.39435787542,73794.48185749876,1327.2971864314957,1338.5416022684126,3.031270366029563,0.04835196338926555,2.241654262222032,0.7896161038075312,1442642.3900098004,1098361.020959471,0.23350566275384743,0.023350566275384742
115.29999999999772,48477.00504015304,73928.25258174374,1326.1068227762194,1337.7072424498201,3.0357261755784672,0.044558095489037435,2.2459732238742367,0.7897529517042303,1442162.704557638,1097881.3355073084,0.03714842265645757,0.003714842265645757
115.39999999999772,48609.4966031087,74061.93945447616,1324.9156295566218,1336.8687273242451,3.039854665397845,0.04128489819378032,2.2499658987741,0.789888766623745,1441683.0191054754,1097401.6500551458,-0.1398709081858236,-0.013987090818582359
115.49999999999771,48741.86897096732,74195.5421186625,1323.723678586207,1336.0266418634433,3.0437175916232686,0.038629262254235464,2.25369385287087,0.7900237387523986,1441203.3336533129,1096921.9646029833,-0.28709416630440376,-0.028709416630440375
115.5999999999977,48874.12207297588,74329.06025873736,1322.5310200855574,1335.1814007485682,3.047381648613417,0.03664056990148667,2.2572236455027954,0.7901580031106212,1440723.6482011504,1096442.2791508208,-0.396909615424315,-0.0396909615424315
115.6999999999977,49006.25584143566,74462.49358298519,1321.3376845978335,1334.3332424782498,3.0509137406612146,0.035320920477972514,2.2606221041994377,0.7902916364617768,1440243.9627489878,1095962.5936986583,-0.4648537824150596,-0.04648537824150596
115.7999999999977,49138.27020999564,74595.84180656644,1320.1436855997858,1333.4822358125439,3.0543765988100597,0.03462858148845012,2.2639519402426593,0.7904246585674004,1439764.2772968253,1095482.9082464958,-0.48967420049523014,-0.048967420049523015
115.89999999999769,49270.165112270886,74729.10463628136,1318.9490227525125,1332.6282971492717,3.057825016774778,0.03448417964717825,2.26726797947214,0.7905570373026373,1439284.5918446628,1095003.2227943332,-0.4731671842354448,-0.04731671842354448
115.99999999999768,49401.94048083907,74862.28175796059,1317.7536856818053,1331.7712167923105,3.061302916358002,0.03477899583225002,2.2706142194332797,0.7906886969247225,1438804.9063925003,1094523.5373421707,-0.4198191117807717,-0.04198191117807717
116.09999999999768,49533.59624664756,74995.37282712324,1316.557658084908,1330.9106916264727,3.0648413796146032,0.03538463256601001,2.274021850962601,0.7908195286520023,1438325.2209403377,1094043.8518900082,-0.3362909826450231,-0.03362909826450231
116.19999999999767,49665.1323388343,75128.37746327059,1315.3609218674032,1330.0463614735652,3.0684577081169455,0.036163285023421664,2.277508305464871,0.7909494026520747,1437845.5354881752,1093564.1664378457,-0.23079370503320717,-0.023079370503320717
116.29999999999767,49796.54868493004,75261.29524790728,1314.163460957409,1329.1778463670112,3.0721554945857035,0.03697786468758165,2.2810773140448104,0.7910781805408929,1437365.8500360127,1093084.4809856832,-0.11240539343959721,-0.01124053934395972
116.39999999999766,49927.84521137488,75394.1257261206,1312.9652644483865,1328.3047821331897,3.075925623882488,0.03770129296784939,2.2847198963368007,0.7912057275456882,1436886.1645838502,1092604.7955335206,0.00961803457419208,0.000961803457419208
116.49999999999766,50059.02184425411,75526.86841131875,1311.7663287923097,1327.4268519813807,3.0797480630574436,0.0382243917495446,2.288416139485506,0.7913319235719374,1436406.4791316877,1092125.110081358,0.12649118220701538,0.012649118220701538
116.59999999999765,50190.07851014301,75659.52279254358,1310.56665888897,1326.5438122482544,3.0835942568801014,0.03846193822657988,2.2921375843491294,0.7914566725309722,1435926.7936795251,1091645.4246291956,0.2304651455143123,0.02304651455143123
116.69999999999764,50321.015136949856,75792.08834364149,1309.3662680684968,1325.6555109791386,3.0874299179334974,0.038356610533961256,2.295850008507479,0.7915799094260186,1435447.1082273626,1091165.739177033,0.3152786901512501,0.03152786901512501
116.79999999999764,50451.83165466094,75924.56453350303,1308.1651771108607,1324.7618986154177,3.0912179895688854,0.037880716353885825,2.299516384711778,0.7917016048571076,1434967.4227752,1090686.0537248706,0.376472557674834,0.0376472557674834
116.89999999999763,50582.52799591687,76056.95083656831,1306.963412559256,1323.8630306528137,3.0949215652693214,0.03703575700435676,2.303099798484679,0.7918217667846427,1434487.7373230376,1090206.368272708,0.4115559098917174,0.04115559098917174
116.99999999999763,50713.10409638133,76189.24674283809,1305.7610046446234,1322.9590626977676,3.0985065676643755,0.035850023950540266,2.3065661280849783,0.7919404395793971,1434008.051870875,1089726.6828205455,0.4200249063927117,0.042002490639271174
117.09999999999762,50843.55989489536,76321.45176672227,1304.5579851403413,1322.0502388417194,3.101944022113729,0.034374544493535865,2.3098863215419203,0.7920577005718085,1433528.3664187125,1089246.997368383,0.40324355443572557,0.04032435544357256
117.19999999999762,50973.89533343702,76453.56545418884,1303.35438541662,1321.136874665748,3.105211800336285,0.032677782225558456,2.3130381458547085,0.7921736544815767,1433048.68096655,1088767.3119162205,0.3642056386413781,0.03642056386413781
117.29999999999761,51104.11035692508,76585.58738783484,1302.1502348805282,1320.2193364599643,3.1082957555326245,0.03083955196339192,2.31600732928736,0.7922884262452639,1432568.9955143875,1088287.626464058,0.30720324680296507,0.030720324680296507
117.3999999999976,51234.20491291423,76717.51718967312,1300.945559891546,1319.2980183828186,3.111190218257528,0.02894462724903541,2.3187880654051054,0.7924021528524218,1432089.310062225,1087807.9410118954,0.2374318465212788,0.02374318465212788
