time[s],x[m],y[m],vx[m/s],vy[m/s],theta[rad],theta_dot[rad/s],alpha[rad],mass[kg],gimbalanglecommanded[deg],u0
109.39999999999806,18094.96143224501,50797.81724710575,538.5929610442146,962.4565196788951,1.9789743671496318,0.1401679385413541,0.9183636176491251,3794732.4282856095,7.237960153220374,0.16084355896045277
109.49999999999805,18148.798504876868,50894.006076143145,538.3707263185722,961.8882903739384,1.9929029546758295,0.13928587526197778,0.9323680052386379,3794252.742833447,7.326840384796704,0.16281867521770452
109.59999999999805,18202.61269231843,50990.13771310694,538.1418744156338,961.3163696379029,2.0067410084649238,0.13838053789094226,0.9462783379338712,3793773.057381285,7.40947284185977,0.16465495204132824
109.69999999999804,18256.4033479548,51086.211783244464,537.9065563636946,960.7407013752553,2.0204863216776383,0.13745313212714372,0.9600925488765616,3793293.3719291226,7.486051239704572,0.16635669421565716
109.79999999999804,18310.16984014158,51182.22790671111,537.664921867797,960.1612346664174,2.03413680477988,0.13650483102241617,0.9738086853541563,3792813.6864769603,7.556765237107356,0.16792811638016347
109.89999999999803,18363.91155205332,51278.18569905951,537.4171191173923,959.5779234840583,2.0476904823559754,0.13553677576095446,0.9874249055852483,3792334.001024798,7.62180038869775,0.1693733419710611
109.99999999999802,18417.627881521745,51374.084771715,537.1632946842434,958.990726554893,2.0611454899471178,0.13455007591142262,1.0009394755369898,3791854.3155726357,7.6813382400080314,0.1706964053335118
110.09999999999802,18471.318240863366,51469.92473243429,536.9035934162051,958.3996071928485,2.0745000709318435,0.13354580984725722,1.0143507657937814,3791374.6301204734,7.735556315604441,0.17190125145787646
110.19999999999801,18524.982056697205,51565.70518574718,536.6381583383774,957.8045331289231,2.0877525734514575,0.13252502519614148,1.0276572484780278,3790894.944668311,7.7846281439103,0.17299173653134
110.29999999999801,18578.618769753608,51661.425733381446,536.3671305640325,957.2054763426673,2.1009014473824803,0.13148873931022925,1.040857494224764,3790415.259216149,7.828723287603577,0.1739716286134128
110.399999999998,18632.22783467509,51757.08597467101,536.0906492148255,956.6024128956459,2.1139452413578947,0.13043793975414317,1.053950169211379,3789935.5737639866,7.868007378769608,0.1748446084171024
110.499999999998,18685.80871981007,51852.68550694773,535.8088513498037,955.9953227671941,2.126882599838696,0.129373584808016,1.066934032243435,3789455.8883118243,7.902642158295752,0.17561427018435005
110.59999999999799,18739.360907000344,51948.22392591701,535.5218719027471,955.3841896927486,2.139712260237004,0.12829660398307388,1.0798079318973413,3788976.202859662,7.932785519022811,0.17628412264495136
110.69999999999798,18792.883891363083,52043.700826017506,535.2298436273778,954.7690010049932,2.152433050091751,0.12720789854747347,1.0925708037204447,3788496.5174074997,7.958591552202648,0.17685759004894774
110.79999999999798,18846.37718106808,52139.11580076531,534.9328970499947,954.1497474780335,2.1650438842977815,0.12610834206030505,1.1052216674889201,3788016.8319553374,7.98021059682948,0.17733801326287732
110.89999999999797,18899.84029711099,52234.468443082784,534.6311604291,953.526423174777,2.1775437623889675,0.12499878091185854,1.1177596245236683,3787537.146503175,7.9977892914925945,0.17772865092205767
110.99999999999797,18953.27277308315,52329.75834561255,534.3247597215988,952.8990252976749,2.1899317658758095,0.12388003486842208,1.1301838550642853,3787057.461051013,8.011470628366933,0.17803268063037628
111.09999999999796,19006.674154938668,52424.98510101684,534.0138185551696,952.2675540429503,2.202207055637814,0.12275289762004268,1.1424936157010372,3786577.7755988506,8.021394009047077,0.17825320020104615
111.19999999999796,19060.04400075931,52520.148302262685,533.6984582064156,951.6320124584189,2.2143688693707966,0.12161813732982649,1.1546882368646405,3786098.0901466883,8.027695301924794,0.1783932289316621
111.29999999999795,19113.38188051775,52615.24754289319,533.378797584423,950.9924063049832,2.226416519089146,0.12047649718349383,1.1667671203735621,3785618.404694526,8.030506900826683,0.17845570890725962
111.39999999999795,19166.687375839687,52710.28241728537,533.0549532193681,950.3487439218645,2.238349388682949,0.1193286959380307,1.1787297370384353,3785138.7192423637,8.02995778470077,0.17844350632668377
111.49999999999794,19219.96007976527,52805.25252089494,532.7270392558296,949.7010360956176,2.2501669315297885,0.11817542846839552,1.1905756243231198,3784659.0337902014,8.026173578098057,0.1783594128466235
111.59999999999793,19273.19959651032,52900.15745048823,532.3951674504758,949.0492959329575,2.2618686681609232,0.1170173663113483,1.2023043840618544,3784179.348338039,8.019276612267593,0.17820614693927983
111.69999999999793,19326.4055412277,52994.996804361974,532.0594471738151,948.3935387374136,2.27345418398148,0.11585515820556855,1.2139156802318822,3783699.662885877,8.009385986676264,0.17798635525947254
111.79999999999792,19379.57753976927,53089.77018255096,531.7199854157077,947.7337818898109,2.2849231270442116,0.11468943062731966,1.2254092367808778,3783219.9774337145,7.996617630792784,0.17770261401761742
111.89999999999792,19432.715228448706,53184.47718702421,531.3768867943547,947.0700447325713,2.2962752058763125,0.11352078832100274,1.236784835508448,3782740.2919815523,7.981084365978301,0.17735743035507337
111.99999999999791,19485.818253805555,53279.11742186999,531.0302535684933,946.4023484578113,2.3075101873587145,0.1123498148240182,1.248042314000945,3782260.60652939,7.96289596735609,0.1769532437190242
112.0999999999979,19538.886272370808,53373.69049346991,530.6801856525392,945.7307159992063,2.318627894657257,0.11117707298542615,1.2591815636187869,3781780.9210772277,7.942159225545744,0.17649242723434988
112.1999999999979,19591.91895043425,53468.19601066267,530.3267806344334,945.0551719275846,2.329628205205053,0.11000310547796045,1.2702025275354532,3781301.2356250654,7.918978008137925,0.17597728906973167
112.2999999999979,19644.915963813848,53562.633584897696,529.9701337959599,944.3757423502033,2.3405110487353546,0.10882843530301047,1.2811051988272952,3780821.550172903,7.893453320831441,0.17541007379625423
112.39999999999789,19697.87699762738,53657.00283037906,529.610338135317,943.6924548136532,2.351276405364178,0.1076535662882395,1.2918896186132847,3780341.864720741,7.865683368128813,0.17479296373619585
112.49999999999788,19750.801746066554,53751.303364200096,529.2474843917328,943.0053382103365,2.361924303721934,0.10647898357755771,1.3025558742438021,3779862.1792685785,7.835763613531881,0.17412808030070848
112.59999999999788,19803.689912173748,53845.53480646894,528.8816610719316,942.3144226884525,2.372454819133255,0.1053051541132124,1.313104097537562,3779382.4938164162,7.803786839160685,0.17341748531468187
112.69999999999787,19856.541207621576,53939.69678042548,528.5129544782652,941.6197395654239,2.382868071844235,0.10413252710979978,1.323534463065747,3778902.808364254,7.769843204732691,0.17266318232739314
112.79999999999787,19909.35535249541,54033.78891254995,528.1414487383355,940.9213212446931,2.393164225296239,0.10296153452003919,1.333847186482439,3778423.1229120917,7.734020305861513,0.17186711790803363
112.89999999999786,19962.132075079007,54127.810832663534,527.767225835946,940.2192011358159,2.4033434844454575,0.10179259149218463,1.3440425229004112,3777943.4374599294,7.696403231623599,0.17103118292496886
112.99999999999785,20014.87111164333,54221.762174021314,527.3903656432276,939.5134135777731,2.413406094127355,0.10062609681897923,1.3541207653113554,3777463.752007767,7.657074621352834,0.17015721380784074
113.09999999999785,20067.57220623871,54315.642573397854,527.0109459537953,938.8039937654248,2.4233523374651638,0.09946243337808511,1.3640822430496227,3776984.066555605,7.616114720634609,0.1692469937918802
113.19999999999784,20120.23511049039,54409.451671165756,526.6290425168,938.0909776790256,2.433182534321558,0.09830196856394707,1.3739273202985447,3776504.3811034425,7.5736014364696675,0.1683022541437704
113.29999999999784,20172.859583397567,54503.18911136743,526.2447290717506,937.374402016721,2.4428970397926655,0.09714505471106999,1.3836563946384237,3776024.69565128,7.529610391583105,0.16732467536851345
