time[s],x[m],y[m],vx[m/s],vy[m/s],theta[rad],theta_dot[rad/s],alpha[rad],gamma[rad],mass[kg],masspropellant[kg],u0,u1,u2,u3
411.78999999998877,13462.703766260602,14935.264130973455,-0.2570655115682245,-542.6641071101396,1.559329773001013,0.0009496178921082056,-3.1525854972396457,4.711915270240659,302395.25037270936,29343.522891587683,-0.20143586756167486,-0.9756374286764185,0.0,0.0
411.79999999998876,13462.701317238136,14929.839265161985,-0.2449022466104213,-542.4865811470461,1.5593393058764933,0.0009532875480377535,-3.152598230659658,4.711937536536151,302373.78369793546,29322.0562168138,-0.2013683321177741,-0.9756962354509596,0.0,0.0
411.80999999998875,13462.698989791119,14924.41617417186,-0.2327447016734894,-542.3090990125945,1.5593488754109548,0.0009569534461429433,-3.152610931486129,4.711959806897084,302352.32256361685,29300.595082495187,-0.20130025232866572,-0.9757550298154456,0.0,0.0
411.81999999998874,13462.696783862046,14918.994857564796,-0.2205929072726156,-542.1316607064291,1.5593584815667552,0.000960615580044078,-3.1526235996989813,4.711982081265736,302330.866968519,29279.13948739733,-0.20123162731734812,-0.9758138117595081,0.0,0.0
411.82999999998873,13462.694699393107,14913.575314902513,-0.20844689392011884,-541.9542662281885,1.559368124306189,0.0009642739433747408,-3.152636235278129,4.712004359584318,302309.4169114072,29257.68943028552,-0.2011624557972233,-0.9758725812813281,0.0,0.0
411.8399999999887,13462.692736326186,14908.157545746739,-0.1963066921253048,-541.7769155775006,1.5593778035914867,0.0009679285297818288,-3.1526488382034805,4.712026641794967,302287.97239104606,29236.244909924404,-0.20109273686921458,-0.9759313383739936,0.0,0.0
411.8499999999887,13462.690894602862,14902.741549659198,-0.1841723323943689,-541.5996087539856,1.559387519384816,0.0009715793329256089,-3.152661408454933,4.712048927839749,302266.5334061999,29214.805925078253,-0.20102247048966235,-0.9759900830336846,0.0,0.0
411.8599999999887,13462.689174164409,14897.327326201626,-0.17204384523058056,-541.4223457572523,1.5593972716482807,0.0009752263464796257,-3.152673946012377,4.712071217660657,302245.0999556323,29193.37247451066,-0.20095165520959654,-0.9760488152531253,0.0,0.0
411.8699999999887,13462.687574951797,14891.914874935757,-0.15992126113455615,-541.2451265869042,1.559407060343922,0.0009788695641306203,-3.152686450855688,4.71209351119961,302223.67203810666,29171.944556985047,-0.2008802904458192,-0.9761075350306783,0.0,0.0
411.8799999999887,13462.68609690569,14886.504195423331,-0.14780461060440045,-541.0679512425313,1.5594168854337178,0.0009825089795784338,-3.1526989229647384,4.7121158083984565,302202.24965238554,29150.522171263947,-0.20080837431944526,-0.9761662423568851,0.0,0.0
411.8899999999887,13462.68473996645,14881.095287226093,-0.13569392413542095,-540.8908197237187,1.5594267468795833,0.0009861445865361666,-3.152711362319387,4.71213810919897,302180.8327972313,29129.105316109766,-0.20073590780019385,-0.9762249372304723,0.0,0.0
411.89999999998867,13462.683504074128,14875.688149905793,-0.12358923222040424,-540.7137320300392,1.5594366446433705,0.0009897763787300343,-3.152723768899482,4.712160413542852,302159.4214714057,29107.69399028417,-0.20066288885691347,-0.9762836196436183,0.0,0.0
411.90999999998866,13462.682389168474,14870.282783024182,-0.1114905653499601,-540.5366881610594,1.5594465786868694,0.0009934043498992524,-3.1527361426848595,4.712182721371729,302138.01567367004,29086.288192548527,-0.20058931662457685,-0.9763422895932308,0.0,0.0
411.91999999998865,13462.681395188934,14864.879186143018,-0.09939795401239018,-540.3596881163344,1.5594565489718073,0.0009970284937960738,-3.1527484836553477,4.712205032627155,302116.6154027851,29064.88792166355,-0.20051519030042586,-0.9764009470723977,0.0,0.0
411.92999999998864,13462.680522074648,14859.477358824064,-0.08731142869365427,-540.1827318954121,1.5594665554598492,0.001000648804185818,-3.152760791790758,4.712227347250607,302095.2206575111,29043.493176389595,-0.20044050967671334,-0.976459592077299,0.0,0.0
411.93999999998863,13462.679769764449,14854.077300629086,-0.07523101987791762,-540.0058194978303,1.5594765981125978,0.001004265274846643,-3.1527730670708944,4.712249665183492,302073.8314366079,29022.103955486455,-0.20036527262937306,-0.976518224602114,0.0,0.0
411.9499999999886,13462.679138196869,14848.679011119855,-0.0631567580471407,-539.828950923119,1.5594866768915934,0.0010078778995697194,-3.1527853094755454,4.7122719863671385,302052.447738835,29000.720257713514,-0.20028947959830498,-0.9765768446424772,0.0,0.0
411.9599999999886,13462.678627310132,14843.282489858148,-0.051088673681429525,-539.652126170797,1.559496791758315,0.0010114866721590802,-3.152797518984486,4.712294310742801,302031.069562951,28979.34208182952,-0.20021312885767156,-0.9766354521916583,0.0,0.0
411.9699999999886,13462.678237042159,14837.887736405744,-0.03902679725938279,-539.4753452403778,1.5595069426741792,0.0010150915864315048,-3.1528096955774814,4.712316638251661,302009.6969077145,28957.96942659301,-0.2001362194949308,-0.9766940472474743,0.0,0.0
411.9799999999886,13462.677967330566,14832.494750324431,-0.0269711592575032,-539.2986081313617,1.5595171296005415,0.001018692636216728,-3.152821839234279,4.71233896883482,301988.32977188315,28936.602290761708,-0.20005875142564242,-0.9767526298013763,0.0,0.0
411.9899999999886,13462.677818112665,14827.103531175999,-0.014921790151074412,-539.1219148432432,1.559527352498695,0.0010222898153571197,-3.152833949934614,4.712361302433309,301966.96815421456,28915.24067309312,-0.19998072273057368,-0.9768111998509994,0.0,0.0
411.9999999999886,13462.67778932546,14821.714078522244,-0.002878720413767971,-538.945265375506,1.559537611329872,0.0010258831177078242,-3.1528460276582075,4.712383638988079,301945.61205346556,28893.884572344115,-0.1999021331101714,-0.9768697573896133,0.0,0.0
412.00999999998857,13462.677880905656,14816.326391924968,0.009158019482098512,-538.768659727627,1.5595479060552433,0.0010294725371366765,-3.1528580723847632,4.712405978440007,301924.2614683927,28872.533987271243,-0.1998229817158204,-0.976928302413944,0.0,0.0
412.01999999998856,13462.678092789647,14810.940470945978,0.02118839906536424,-538.5920978990705,1.5595582366359186,0.001033058067524102,-3.1528700840939727,4.712428320729892,301902.9163977517,28851.188916630286,-0.1997432668447905,-0.976986834915806,0.0,0.0
412.02999999998855,13462.678424913525,14805.556315147085,0.03321238786605453,-538.415579889297,1.5595686030329463,0.00103663970276317,-3.1528820627655105,4.712450665798457,301881.5768402984,28829.849359176973,-0.19966298878204433,-0.9770453548946534,0.0,0.0
412.03999999998854,13462.67887721308,14800.173924090108,0.0452299554154926,-538.239105697752,1.559579005207314,0.0010402174367595911,-3.1528940083790333,4.712473013586347,301860.2427947875,28808.515313666052,-0.19958214594334908,-0.9771038623401183,0.0,0.0
412.04999999998853,13462.679449623793,14794.79329733687,0.057241071245443614,-538.0626753238787,1.5595894431199482,0.0010437912634314343,-3.152905920914183,4.712495364034131,301838.9142599738,28787.186778852323,-0.19950073698918813,-0.977162357252746,0.0,0.0
412.0599999999885,13462.68014208084,14789.414434449198,0.0692457048889187,-537.8862887671046,1.5595999167317154,0.001047361176709395,-3.1529178003505858,4.712517717082301,301817.59123461106,28765.86375348957,-0.19941876171876685,-0.9772208396218047,0.0,0.0
412.0699999999885,13462.680954519099,14784.037334988929,0.08124382587946151,-537.7099460268552,1.5596104260034207,0.0010509271705365726,-3.152929646667847,4.712540072671268,301796.2737174532,28744.546236331666,-0.1993362191990548,-0.977279309448204,0.0,0.0
412.0799999999885,13462.681886873137,14778.661998517904,0.09323540375135653,-537.5336471025402,1.5596209708958093,0.0010544892388684964,-3.1529414598455587,4.712562430741368,301774.96170725295,28723.23422613143,-0.1992531077907521,-0.9773377667208478,0.0,0.0
412.0899999999885,13462.682939077218,14773.288424597968,0.10522040803934349,-537.3573919935665,1.559631551369566,0.0010580473756730737,-3.15295323986329,4.712584791232856,301753.6552027633,28701.92772164172,-0.19916942749765965,-0.9773962114401001,0.0,0.0
412.0999999999885,13462.6841110653,14767.916612790974,0.11719880827846269,-537.1811806993279,1.5596421673853154,0.0010616015749304872,-3.152964986700594,4.71260715408591,301732.3542027361,28680.62672161457,-0.1990851761961141,-0.9774546435972298,0.0,0.0
412.1099999999885,13462.68540277104,14762.546562658781,0.12917057400411144,-537.0050132192115,1.5596528189036216,0.0010651518306332487,-3.1529767003370064,4.712629519240628,301711.05870592326,28659.331224801703,-0.1990003539484383,-0.9775130631889624,0.0,0.0
412.11999999998847,13462.686814127786,14757.178273763255,0.14113567475205077,-536.8288895525942,1.5596635058849895,0.0010686981367861927,-3.1529883807520402,4.71265188663703,301689.7687110758,28638.041229954277,-0.1989149597427383,-0.9775714702092955,0.0,0.0
