time,y,v,a,m,tau
93.49999999999896,211573.80683159758,2690.3478370649527,24.25926763038381,204301.7509446841,0.2114947984440319
93.59999999999896,211843.08428976836,2692.7745817077707,24.26744642818109,204099.00163458844,0.21133568798225266
93.69999999999895,212112.60450386416,2695.2021409580125,24.275592502418746,203896.40511010287,0.21117643194327876
93.79999999999895,212382.36755501866,2697.630511545034,24.283705870215456,203693.9615099613,0.21101703129511307
93.89999999999894,212652.37352403864,2700.059690199903,24.29178654868828,203491.67097197095,0.2108574870035934
93.99999999999893,212922.62249140418,2702.489673655398,24.29983455494783,203289.5336330146,0.21069780003236344
94.09999999999893,213193.1145372688,2704.9204586460087,24.30784990610954,203087.54962905255,0.21053797134294255
94.19999999999892,213463.8497414596,2707.352041907938,24.315832619295314,202885.7190951247,0.21037800189473652
94.29999999999892,213734.8281834775,2709.7844201790995,24.32378271161093,202684.04216535264,0.2102178926448983
94.39999999999891,214006.04994249743,2712.217590199117,24.331700200175028,202482.51897294176,0.2100576445485079
94.4999999999989,214277.51509736836,2714.651548709328,24.339585102109538,202281.14965018313,0.20989725855851318
94.5999999999989,214549.22372661365,2717.08629245278,24.347437434520195,202079.9343284558,0.20973673562561077
94.6999999999989,214821.17590843106,2719.5218181742334,24.355257214533786,201878.8731382287,0.20957607669847564
94.79999999999889,215093.37172069307,2721.958122620159,24.36304445925441,201677.96620906278,0.2094152827234929
94.89999999999888,215365.81124094696,2724.395202538739,24.370799185799115,201477.2136696131,0.20925435464497735
94.99999999999888,215638.49454641494,2726.833054679868,24.37852141129148,201276.6156476307,0.20909329340513425
95.09999999999887,215911.42171399444,2729.2716757951525,24.38621115284532,201076.17226996494,0.20893209994396023
95.19999999999887,216184.59282025823,2731.7110626379094,24.393868427569593,200875.88366256538,0.20877077519927423
95.29999999999886,216458.00794145453,2734.151211963167,24.401493252578085,200675.7499504839,0.20860932010677735
95.39999999999885,216731.6671535073,2736.592120527667,24.409085644996026,200475.77125787674,0.20844773560009353
95.49999999999885,217005.57053201628,2739.0337850898604,24.416645621935608,200275.9477080065,0.20828602261062104
95.59999999999884,217279.71815225726,2741.4762024099114,24.424173200510644,200076.27942324438,0.2081241820676225
95.69999999999884,217554.11008918224,2743.9193692496947,24.43166839783332,199876.76652507205,0.20796221489820607
95.79999999999883,217828.74641741952,2746.363282372796,24.439131231017413,199677.4091340838,0.20780012202734552
95.89999999999883,218103.62721127397,2748.8079385445158,24.446561717194754,199478.20736998855,0.20763790437798088
95.99999999999882,218378.75254472715,2751.2533345318625,24.45395987346606,199279.16135161193,0.2074755628707207
96.09999999999881,218654.1224914375,2753.699467103557,24.461325716941843,199080.2711968984,0.20731309842409146
96.19999999999881,218929.7371247405,2756.1463330300317,24.468659264750656,198881.53702291314,0.20715051195458786
96.2999999999988,219205.59651764884,2758.5939290834326,24.47596053400961,198682.9589458442,0.20698780437649494
96.3999999999988,219481.7007428526,2761.0422520376146,24.48322954182101,198484.53708100467,0.20682497660186905
96.49999999999879,219758.04987271942,2763.491298668145,24.490466305305205,198286.27154283453,0.20666202954073712
96.59999999999879,220034.64397929466,2765.9410657523035,24.497670841582597,198088.1624449028,0.20649896410098859
96.69999999999878,220311.48313430158,2768.39155006908,24.504843167766985,197890.20989990953,0.20633578118833631
96.79999999999878,220588.5674091415,2770.8427483991773,24.51198330097052,197692.41401968797,0.2061724817063473
96.89999999999877,220865.896874894,2773.294657525008,24.519091258306986,197494.77491520654,0.20600906655646356
96.99999999999876,221143.4716023171,2775.7472742306977,24.52616705689512,197297.29269657083,0.2058455366380226
97.09999999999876,221421.2916618473,2778.200595302084,24.5332107138603,197099.9674730257,0.20568189284826865
97.19999999999875,221699.35712359997,2780.654617526714,24.540222246301454,196902.79935295737,0.205518136082155
97.29999999999875,221977.66805736936,2783.1093376938475,24.54720167133398,196705.78844389544,0.2053542672326027
97.39999999999874,222256.2245326288,2785.564752594456,24.55414900608659,196508.9348525148,0.2051902871904821
97.49999999999874,222535.02661853094,2788.020859021223,24.561064267668115,196312.23868463785,0.2050261968444152
97.59999999999873,222814.0743839078,2790.477653768542,24.567947473190657,196115.7000452365,0.20486199708091538
97.69999999999872,223093.36789727106,2792.93513363252,24.574798639779637,195919.31903843413,0.2046976887844483
97.79999999999872,223372.90722681215,2795.393295410974,24.58161778454054,195723.0957675077,0.2045332728372345
97.89999999999871,223652.6924404025,2797.852135903433,24.588404924588794,195527.03033488986,0.20436875011942865
97.9999999999987,223932.7236055936,2800.311651911138,24.59516007704984,195331.12284217076,0.2042041215091209
98.0999999999987,224213.0007896173,2802.771840237041,24.60188325902913,195135.37339010034,0.20403938788215958
98.1999999999987,224493.52405938588,2805.232697685805,24.608574487638755,194939.78207859024,0.20387455011231065
98.29999999999869,224774.29348149226,2807.694221063806,24.615233780010854,194744.34900671578,0.20370960907133806
98.39999999999868,225055.30912221016,2810.1564071791304,24.621861153247536,194549.07427271814,0.2035445656287081
98.49999999999868,225336.57104749433,2812.619252841577,24.628456624464214,194353.95797400628,0.20337942065184747
98.59999999999867,225618.0793229806,2815.0827548626553,24.635020210786386,194159.000207159,0.2032141750061251
98.69999999999867,225899.83401398617,2817.546910055587,24.64155192931611,193964.201067927,0.20304882955465514
98.79999999999866,226181.8351855097,2820.0117152353046,24.648051797175498,193769.5606512349,0.20288338515855536
98.89999999999866,226464.08290223154,2822.4771672184534,24.654519831486745,193575.07905118322,0.20271784267682988
98.99999999999865,226746.5772285139,2824.9432628233885,24.660956049351846,193380.75636105044,0.20255220296625148
99.09999999999864,227029.31822840092,2827.4099988701782,24.66736046789633,193186.5926732951,0.20238646688161996
99.19999999999864,227312.305965619,2829.877372180602,24.673733104235637,192992.58807955758,0.20222063527556575
99.29999999999863,227595.5405035768,2832.3453795781493,24.68007397547514,192798.7426706625,0.20205470899855116
99.39999999999863,227879.0219053656,2834.814017888023,24.686383098736982,192605.05653662045,0.2018886888990296
99.49999999999862,228162.75023375932,2837.283283937137,24.69266049114337,192411.52976663003,0.20172257582334827
99.59999999999862,228446.72555121474,2839.7531745541173,24.698906169799642,192218.16244908003,0.20155637061565052
99.69999999999861,228730.94791987166,2842.2236865692994,24.70512015182122,192024.95467155133,0.2013900741180353
99.7999999999986,229015.41740155313,2844.6948168147323,24.7113024543303,191831.9065208189,0.20122368717053854
99.8999999999986,229300.13405776554,2847.1665621241764,24.717453094438973,191639.01808285393,0.20105721061103618
99.9999999999986,229585.09794969886,2849.6389193331024,24.723572089262667,191446.2894428257,0.2008906452753239
100.09999999999859,229870.30913822673,2852.111885278694,24.72965945591684,191253.72068510373,0.2007239919970994
100.19999999999858,230155.7676839067,2854.585456799845,24.735715211510133,191061.3118932597,0.2005572516079236
100.29999999999858,230441.47364698042,2857.0596307371625,24.741739373174966,190869.0631500694,0.20039042493740014
100.39999999999857,230727.4270873737,2859.5344039329643,24.747731958016615,190676.974537515,0.20022351281288073
100.49999999999856,231013.62806469685,2862.009773231279,24.7536929831437,190485.04613678672,0.20005651605964409
100.59999999999856,231300.07663824465,2864.4857354778464,24.759622465675086,190293.27802828516,0.19988943550093682
100.69999999999855,231586.77286699665,2866.9622875201208,24.765520422743208,190101.67029162296,0.19972227195799425
100.79999999999855,231873.71680961738,2869.439426207265,24.771386871443127,189910.22300562714,0.19955502624974691
100.89999999999854,232160.9085244564,2871.9171483901546,24.77722182889366,189718.9362483409,0.1993876991931761
100.99999999999854,232448.34806954855,2874.3954509213763,24.78302531221707,189527.81009702565,0.19922029160319737
101.09999999999853,232736.03550261408,2876.8743306552283,24.78879733851857,189336.8446281631,0.199052804292544
101.19999999999852,233023.97088105883,2879.353784447722,24.79453792493409,189146.039917457,0.1988852380720437
101.29999999999852,233312.1542619745,2881.833809156578,24.8002470885586,188955.39603983558,0.19871759375020737
101.39999999999851,233600.58570213863,2884.314401641229,24.80592484650751,188764.91306945318,0.19854987213358463
101.49999999999851,233889.2652580149,2886.79555876282,24.81157121590995,188574.59107969227,0.19838207402672559
101.5999999999985,234178.19298575333,2889.2772773842075,24.817186213877974,188384.43014316563,0.19821420023200606
101.6999999999985,234467.36894119033,2891.7595543699595,24.822769857520164,188194.4303317182,0.19804625154970734
101.79999999999849,234756.79317984896,2894.2423865863548,24.82832216395194,188004.59171642916,0.19787822877807687
101.89999999999849,235046.46575693908,2896.7257709013847,24.83384315029906,187814.91436761373,0.1977101327133496
101.99999999999848,235336.38672735755,2899.2097041847505,24.839332833659796,187625.39835482545,0.19754196414953337
102.09999999999847,235626.55614568834,2901.694183307868,24.84479123117366,187436.04374685785,0.19737372387880328
102.19999999999847,235916.97406620273,2904.1792051438615,24.850218359932015,187246.8506117467,0.197205412690993
102.29999999999846,236207.6405428595,2906.6647665675678,24.855614237060607,187057.81901677183,0.1970370313740673
102.39999999999846,236498.55562930505,2909.150864455536,24.86097887968181,186868.94902845914,0.1968685807139081
102.49999999999845,236789.71937887365,2911.637495686026,24.866312304897242,186680.24071258266,0.19670006149421762
102.59999999999845,237081.13184458754,2914.124657139009,24.87161452982928,186491.69413416638,0.19653147449675615
102.69999999999844,237372.79307915716,2916.6123456961686,24.876885571596794,186303.30935748632,0.1963628205012055
102.79999999999843,237664.70313498125,2919.1005582409,24.882125447315254,186115.0864460725,0.1961941002851715
102.89999999999843,237956.86206414708,2921.5892916583093,24.887334174093183,185927.0254627109,0.19602531462416586
102.99999999999842,238249.2699184306,2924.0785428352137,24.89251176904601,185739.1264694455,0.19585646429168616
103.09999999999842,238541.9267492966,2926.5683086601434,24.89765824929612,185551.38952758003,0.19568755005921776
103.19999999999841,238834.83260789895,2929.0585860233386,24.902773631952023,185363.8146976802,0.1955185726961178
103.2999999999984,239127.98754508063,2931.5493718167527,24.907857934139564,185176.4020395755,0.1953495329697934
103.3999999999984,239421.39161137404,2934.040662934049,24.912911172963796,184989.15161236122,0.19518043164548812
103.4999999999984,239715.0448570011,2936.532456270603,24.917933365536648,184802.06347440043,0.19501126948644007
103.59999999999839,240008.94733187347,2939.0247487235024,24.92292452899447,184615.13768332585,0.19484204725398166
103.69999999999838,240303.09908559264,2941.5175371915457,24.927884680431823,184428.3742960419,0.19467276570716993
103.79999999999838,240597.50016745017,2944.010818575242,24.932813836960626,184241.77336872672,0.19450342560312042
103.89999999999837,240892.15062642784,2946.504589776814,24.937712015720756,184055.33495683386,0.194334027697068
103.99999999999837,241187.05051119786,2948.9988477001957,24.942579233817206,183869.05911509448,0.19416457274201665
104.09999999999836,241482.19987012295,2951.4935892510307,24.94741550834795,183682.9458975193,0.19399506148889786
104.19999999999835,241777.59875125662,2953.9888113366756,24.952220856449372,183496.99535740036,0.19382549468682606
104.29999999999835,242073.24720234325,2956.4845108661984,24.956995295229966,183311.20754731313,0.19365587308272997
104.39999999999834,242369.1452708183,2958.9806847503787,24.961738841801647,183125.5825191184,0.19348619742152967
104.49999999999834,242665.29300380847,2961.477329901708,24.96645151329038,182940.12032396425,0.19331646844619726
104.59999999999833,242961.6904481319,2963.974443234388,24.971133326804612,182754.82101228792,0.19314668689758327
104.69999999999833,243258.33765029834,2966.4720216643327,24.975784299445735,182569.68463381793,0.19297685351447688
104.79999999999832,243555.23465650927,2968.9700621091683,24.980404448357262,182384.71123757574,0.19280696903388095
104.89999999999831,243852.3815126581,2971.4685614882324,24.984993790640637,182199.90087187788,0.19263703419054604
104.99999999999831,244149.77826433035,2973.967516722572,24.989552343397186,182015.25358433792,0.19246704971720618
105.0999999999983,244447.42495680385,2976.4669247349493,24.994080123774047,181830.76942186817,0.19229701634483423
105.1999999999983,244745.32163504884,2978.9667824498356,24.998577148862033,181646.4484306819,0.19212693480207887
105.29999999999829,245043.46834372816,2981.4670867934137,25.003043435780086,181462.2906562951,0.19195680581573385
105.39999999999829,245341.86512719752,2983.9678346935793,25.00747900165424,181278.29614352842,0.1917866301106234
105.49999999999828,245640.5120295055,2986.469023079938,25.011883863585844,181094.46493650915,0.19161640840942887
105.59999999999827,245939.4090943939,2988.970648883808,25.01625803869736,180910.7970786731,0.19144614143294356
105.69999999999827,246238.55636529773,2991.4727090382185,25.020601544107798,180727.29261276647,0.19127582989993897
105.79999999999826,246537.95388534552,2993.9752004779116,25.024914396929063,180543.9515808479,0.19110547452714685
105.89999999999826,246837.60169735944,2996.4781201393394,25.029196614276593,180360.7740242903,0.1909350760293199
105.99999999999825,247137.4998438555,2998.9814649606665,25.03344821326938,180177.75998378271,0.1907646351192337
106.09999999999825,247437.64836704367,3001.4852318817675,25.03766921101225,179994.90949933245,0.19059415250759182
106.19999999999824,247738.0473088281,3003.98941784423,25.041859624624166,179812.22261026676,0.19042362890318285
106.29999999999824,248038.69671080724,3006.4940197913534,25.04601947123477,179629.69935523477,0.1902530650128632
106.39999999999823,248339.59661427405,3008.999034668148,25.05014876794533,179447.33977220953,0.19008246154134598
106.49999999999822,248640.74706021618,3011.5044594213355,25.05424753187482,179265.1438984898,0.1899118191914548
106.59999999999822,248942.14808931612,3014.0102909993493,25.058315780138706,179083.11177070203,0.18974113866400993
106.69999999999821,249243.79974195134,3016.5165263523345,25.062353529852416,178901.24342480223,0.18957042065784951
106.7999999999982,249545.70205819455,3019.0231624321477,25.0663607981314,178719.53889607784,0.18939966586983187
106.8999999999982,249847.8550778138,3021.5301961923565,25.07033760208754,178537.99821914965,0.18922887499481808
106.9999999999982,250150.2588402726,3024.0376245882408,25.074283958843395,178356.6214279737,0.1890580487257516
107.09999999999819,250452.9133847303,3026.5454445767914,25.078199885507296,178175.4085558432,0.1888871877535251
107.19999999999818,250755.81875004194,3029.0536531167118,25.082085399205404,177994.3596353903,0.18871629276715637
107.29999999999818,251058.97497475878,3031.5622471684155,25.08594051703885,177813.47469858822,0.18854536445355866
107.39999999999817,251362.38209712817,3034.0712236940294,25.08976525613739,177632.75377675283,0.18837440349783283
