time,x,y,vx,vy,theta,theta_dot,alpha,mass,MomentsApplied,ParallelThrust,PerpendicularThrust
88.09,7975.68520637906,30492.7019756433,355.515895340338,826.130515770276,1.13107894180545,-0.0096892018334205,0.0333335525352509,4946314.1076894,-26334677.9466715,138057823.503964,-554913.563516097
88.1,7979.24036533247,30500.963280801,355.633613413333,826.286308284737,1.13098204978711,-0.00970317520482307,0.0333787004293498,4945930.36476518,-26267666.1087394,138057926.739755,-553498.692667205
88.11,7982.7967014666,30509.2261438839,355.751367846984,826.44210844624,1.13088501803506,-0.00971711330049481,0.0334239761107999,4945546.62181472,-26200388.7107014,138058029.849043,-552078.240542858
88.12,7986.35421514507,30517.4905649684,355.869158691343,826.597916231766,1.13078784690206,-0.00973101597809859,0.0334693791771699,4945162.87883753,-26132846.3575618,138058131.752931,-550652.210386157
88.13,7989.91290673198,30525.7565441307,355.986985995363,826.753731616062,1.13069053674228,-0.0097448830944528,0.0335149092247859,4944779.13583058,-26065039.6567871,138058233.692804,-549220.624667591
88.14,7993.47277659194,30534.0240814468,356.104849807953,826.909554574189,1.13059308791133,-0.0097587145079824,0.0335605658487699,4944395.39279729,-25996969.2183215,138058335.668064,-547783.49638028
88.15,7997.03382509002,30542.2931769926,356.222750178963,827.065385083516,1.13049550076625,-0.00977251007743284,0.0336063486429259,4944011.64973761,-25928635.6545598,138058437.678114,-546340.838513114
88.16,8000.59605259181,30550.5638308434,356.340687158131,827.221223121445,1.13039777566548,-0.00978626966186961,0.0336522571998144,4943627.90665152,-25860039.5803411,138058539.722354,-544892.664106217
88.17,8004.15945946339,30558.8360430746,356.458660795088,827.37706866541,1.13029991296886,-0.0097999931206796,0.0336982911107564,4943244.16353899,-25791181.612944,138058641.800186,-543438.986250847
88.18,8007.72404607134,30567.1098137613,356.576671139352,827.532921692875,1.13020191303766,-0.00981368031357237,0.0337444499658377,4942860.42039998,-25722062.3720793,138058743.911008,-541979.818089244
88.19,8011.28981278273,30575.3851429782,356.69471824033,827.688782181336,1.13010377623452,-0.00982733110058151,0.0337907333539111,4942476.67723446,-25652682.4798857,138058846.054219,-540515.172814535
88.2,8014.85675996514,30583.6620308,356.812802147315,827.844650108322,1.13000550292351,-0.00984094534206592,0.0338371408626019,4942092.93404241,-25583042.5609258,138058948.229218,-539045.063670651
88.21,8018.42488798661,30591.9404773011,356.930922909491,828.000525451393,1.12990709347009,-0.00985452289871109,0.0338836720783093,4941709.1908238,-25513143.2421768,138059050.435401,-537569.503952125
88.22,8021.9941972157,30600.2204825556,357.049080575926,828.156408188141,1.12980854824111,-0.00986806363153045,0.0339303265862123,4941325.4475786,-25442985.1530291,138059152.672165,-536088.507004064
88.23,8025.56468802146,30608.5020466375,357.167275195577,828.312298296194,1.12970986760479,-0.00988156740186661,0.0339771039702716,4940941.70430678,-25372568.9252758,138059254.901962,-534602.086221933
88.24,8029.13636077342,30616.7851696205,357.285506817256,828.468195753141,1.12961105193077,-0.00989503407136262,0.0340240038132351,4940557.96100822,-25301895.1931113,138059355.810426,-533110.255051509
88.25,8032.70921584159,30625.069851578,357.4037754886,828.624100534152,1.12951210159006,-0.00990846350092181,0.0340710256966421,4940174.21767924,-25230964.5931251,138059456.747395,-531613.026988739
88.26,8036.28325359648,30633.3560925833,357.522081257054,828.780012614481,1.12941301695505,-0.00992185555287934,0.0341181692009149,4939790.47432358,-25159777.7643124,138059557.712263,-530110.415580028
88.27,8039.85847440905,30641.6438927095,357.640424171114,828.935931971885,1.12931379839952,-0.00993521008990475,0.0341654339051705,4939406.73094121,-25088335.3480516,138059658.704427,-528602.434091829
88.28,8043.43487865076,30649.9332520292,357.75880427916,829.091858584159,1.12921444629862,-0.00994852697499308,0.0342128193873268,4939022.98753211,-25016637.9880982,138059759.723367,-527089.087606756
88.29,8047.01246669355,30658.224170615,357.877221629459,829.247792429129,1.12911496102887,-0.00996180607121351,0.0342603252241065,4938639.24409627,-24944686.3305779,138059860.768382,-525570.398767221
88.3,8050.59123890985,30666.5166485393,357.995676270174,829.403733484649,1.12901534296816,-0.00997504724224795,0.0343079509910185,4938255.50063365,-24872481.0239868,138059961.838864,-524046.381318946
88.31,8054.17119567255,30674.8106858742,358.114168249335,829.559681728615,1.12891559249574,-0.00998825035211784,0.0343556962624045,4937871.75714426,-24800022.7191811,138060062.934205,-522517.049057099
