step,state_mean,state_min,state_max,state_std,state_kurtosis,action_mean,action_min,action_max,action_std,action_kurtosis,reward_mean,reward_min,reward_max,reward_std,reward_kurtosis,critic_loss,actor_loss,alpha_loss,alpha_value,q_value_mean,q_value_min,q_value_max,q_value_std,log_prob_mean,log_prob_min,log_prob_max,log_prob_std,target_q_mean,target_q_min,target_q_max,target_q_std
50,1.6470432,1.5472741,1.7486421,0.059006337,-0.9735203,-0.07194313,-0.9965608,0.99618036,0.66860557,-1.4424055,-0.025229922,-5.979085,0.20187505,0.76014686,55.820442,1.1571860313415527,-0.35978221893310547,-2.692952871322632,0.19695059247753172,0.23020658,0.17767511,0.25464728,0.01863151,-0.65771097,-1.8530371,-0.40215474,0.20211865,0.23126826,-5.779774,0.6586781,0.76351786
51,1.6476833,1.5474913,1.7515444,0.05654732,-0.8713739,-0.03931861,-0.99961925,0.9965462,0.7041061,-1.5364574,-0.015730785,-5.979085,0.20187505,0.7595544,56.36637,1.140270709991455,-0.3460268974304199,-2.6848134994506836,0.1968912358598743,0.21753752,0.17204998,0.24420568,0.017533965,-0.6523939,-2.3523705,-0.4142524,0.245027,0.23373982,-5.7359514,0.6063122,0.7575107
52,1.6480174,1.5484848,1.7511672,0.056452427,-0.97679627,-0.049760964,-0.99928164,0.9909677,0.69471383,-1.4960665,0.03624629,-5.978674,0.19861764,0.541203,116.223755,0.5999909043312073,-0.34302037954330444,-2.682875871658325,0.19683194210183194,0.21486482,0.16527115,0.24518652,0.018517809,-0.6508951,-1.6708283,-0.4488665,0.15224917,0.2941895,-5.7555046,0.59710974,0.54230607
53,1.6487865,1.5471647,1.7515444,0.056221478,-0.80414456,-0.031545006,-0.99961925,0.99618036,0.6655611,-1.4223604,-0.0015890598,-5.979085,0.20187505,0.662145,74.8512,0.8646260499954224,-0.346853107213974,-2.6939847469329834,0.19677268746634882,0.21745116,0.16507377,0.24978884,0.018483121,-0.6574236,-1.5474567,-0.49547046,0.12686788,0.25445694,-5.738618,0.5667947,0.66041666
54,1.6461694,1.5487021,1.7513723,0.052976284,-0.87590796,-0.09627047,-0.99928164,0.9965462,0.67306423,-1.4563642,0.06163776,-5.978674,0.19861764,0.38566002,232.0973,0.3212456703186035,-0.37712377309799194,-2.7183265686035156,0.1967134272643979,0.24487488,0.19904105,0.27798134,0.019151246,-0.6720898,-1.5682478,-0.55044824,0.112785205,0.32140708,-5.73313,0.62758887,0.38977847
55,1.6470488,1.5471647,1.750404,0.054789893,-0.7095314,-0.05438578,-0.9965608,0.9965462,0.6631575,-1.4214469,0.07551988,-0.9378575,0.20024785,0.11231312,41.945656,0.040821950882673264,-0.4237799048423767,-2.720559597015381,0.196654161451257,0.2913616,0.25177288,0.32322782,0.01832767,-0.6731533,-1.5453308,-0.5890767,0.082460254,0.33669683,-0.63327223,0.5571455,0.11696319
56,1.649285,1.5472741,1.7515444,0.05800949,-0.9864477,-0.072516724,-0.99961925,0.99618036,0.6640216,-1.3957523,-0.079070814,-5.979085,0.19861764,0.99223626,31.181915,1.9686857461929321,-0.4469439685344696,-2.752171754837036,0.19659483740902117,0.31080395,0.25909042,0.34440368,0.020060183,-0.6922815,-2.6043468,-0.5237441,0.15636045,0.18612096,-5.724443,0.58945215,0.9894186
57,1.6459234,1.5474315,1.7492633,0.05606474,-0.9713572,-0.0035837311,-0.99928164,0.9909677,0.6613556,-1.4478717,0.060345005,-5.979085,0.20187505,0.38583088,231.54013,0.2980812191963196,-0.4643174409866333,-2.719226360321045,0.19653552444591707,0.33226204,0.27378654,0.36741322,0.023076776,-0.67171353,-1.3575706,-0.45963037,0.11658481,0.32703832,-5.7026815,0.54372114,0.3871686
58,1.6470076,1.5472741,1.7492633,0.055440933,-0.8712184,-0.03093,-0.99961925,0.9965462,0.6670352,-1.4482079,0.06176625,-5.979085,0.19861764,0.38607085,231.18208,0.29718536138534546,-0.4671005308628082,-2.7122256755828857,0.19647623736731618,0.3359916,0.24670544,0.36222768,0.02517497,-0.66710037,-1.236862,-0.43520582,0.12321386,0.33043498,-5.686809,0.6680195,0.38637155
59,1.646772,1.5472741,1.7492633,0.0588161,-0.99344623,-0.06695027,-0.9964825,0.99618036,0.6791954,-1.4603859,0.050943375,-5.979085,0.20024785,0.39129886,217.42009,0.3071616291999817,-0.4596675634384155,-2.732611656188965,0.19641693980436972,0.32619745,0.2302452,0.35194638,0.025590325,-0.6793194,-1.9269776,-0.4195248,0.16687882,0.32019687,-5.7098126,0.85142845,0.39427108
60,1.6467459,1.5471647,1.7515444,0.057816744,-0.9588946,0.03147494,-0.99556,0.9965462,0.6822092,-1.4496747,0.011630082,-5.979085,0.20187505,0.6595115,76.78808,0.8719092607498169,-0.4390251040458679,-2.7111973762512207,0.19635767521991426,0.30824083,0.21093695,0.33537003,0.028191943,-0.6658503,-1.3272538,-0.45879257,0.11010266,0.28128266,-5.6976194,0.51456845,0.65891623
61,1.6452508,1.5471647,1.7515444,0.0574157,-0.7880423,-0.12640111,-0.99961925,0.99618036,0.66900957,-1.3929703,-0.04946021,-5.979085,0.19861764,0.84574264,44.197075,1.4355721473693848,-0.39743682742118835,-2.7362451553344727,0.1962983978046316,0.2637312,0.17975646,0.29642433,0.029504173,-0.6809288,-1.668303,-0.501544,0.10020846,0.21756086,-5.732315,0.58445555,0.84410983
62,1.6476372,1.5471647,1.750404,0.05731365,-0.78875214,-0.033195037,-0.9965608,0.9965462,0.6637287,-1.4261839,0.041306317,-5.979085,0.20187505,0.400155,197.58124,0.314778208732605,-0.38015997409820557,-2.7348246574401855,0.19623911508332817,0.24672723,0.15237242,0.27945092,0.03207662,-0.67974454,-1.5943899,-0.515234,0.10447983,0.309568,-5.667326,0.5989761,0.3983588
63,1.6476594,1.5472741,1.7481215,0.054132674,-0.69357705,-0.083071664,-0.9965608,0.9965462,0.640949,-1.3928589,0.080090314,-0.44824827,0.20187505,0.08132107,12.941263,0.036242760717868805,-0.3960784673690796,-2.724912643432617,0.1961798492339256,0.26394165,0.16840145,0.2949975,0.029542657,-0.67334616,-2.277564,-0.52466804,0.13328713,0.34963882,-0.17257583,0.5151487,0.088849716
