t,x,y,vx,vy,theta
5.899999999999995,1495.1875325715696,1219.5041666666634,-85.61953704409386,-45.083333333333194,0.16580627893946165
5.999999999999995,1486.634962401317,1214.9999999999968,-85.43186636095982,-44.99999999999986,0.1745329251994333
6.099999999999994,1478.1016388913954,1210.5041666666634,-85.23460383747101,-44.91666666666652,0.18325957145940497
6.199999999999994,1469.5885227797662,1206.0166666666635,-85.0277183951121,-44.83333333333319,0.19198621771937663
6.299999999999994,1461.0965779934559,1201.5374999999967,-84.81117733109214,-44.74999999999985,0.2007128639793483
6.399999999999993,1452.6267718120368,1197.0666666666634,-84.58494629728801,-44.666666666666515,0.20943951023931995
6.499999999999993,1444.1800750332716,1192.6041666666633,-84.34898927801504,-44.58333333333318,0.2181661564992916
6.5999999999999925,1435.7574621410413,1188.1499999999967,-84.10326856659373,-44.499999999999844,0.22689280275926327
6.699999999999992,1427.3594517096315,1183.7041666666632,-83.85694006160249,-44.41666666666651,0.22743489339413184
6.799999999999992,1418.9860741287207,1179.2666666666632,-83.61061155661125,-44.33333333333317,0.22743489339413187
6.8999999999999915,1410.637329398309,1174.8374999999965,-83.36428305162,-44.24999999999984,0.22743489339413192
6.999999999999991,1402.3132175183966,1170.416666666663,-83.11795454662877,-44.1666666666665,0.22743489339413195
7.099999999999991,1394.0137384889833,1166.004166666663,-82.87162604163751,-44.083333333333165,0.227434893394132
7.19999999999999,1385.738892310069,1161.5999999999963,-82.62529753664627,-43.99999999999983,0.22743489339413195
7.29999999999999,1377.488678981654,1157.2041666666628,-82.37896903165502,-43.916666666666494,0.227434893394132
7.39999999999999,1369.263098503738,1152.8166666666627,-82.13264052666376,-43.83333333333316,0.227434893394132
7.499999999999989,1361.0621508763213,1148.4374999999961,-81.88631202167252,-43.74999999999982,0.22743489339413195
7.599999999999989,1352.8858360994036,1144.0666666666627,-81.63998351668128,-43.66666666666649,0.22743489339413198
7.699999999999989,1344.734154172985,1139.7041666666628,-81.39365501169003,-43.58333333333315,0.22743489339413206
7.799999999999988,1336.6071050970654,1135.349999999996,-81.14732650669878,-43.499999999999815,0.22743489339413203
7.899999999999988,1328.5046888716452,1131.0041666666627,-80.90099800170753,-43.41666666666648,0.22743489339413198
7.999999999999988,1320.426905496724,1126.6666666666626,-80.65466949671628,-43.333333333333144,0.22743489339413203
8.099999999999987,1312.3737549723019,1122.337499999996,-80.40834099172504,-43.24999999999981,0.22743489339413198
8.199999999999987,1304.3452372983788,1118.0166666666626,-80.16201248673379,-43.16666666666647,0.22743489339413203
8.299999999999986,1296.341352474955,1113.7041666666626,-79.91568398174255,-43.08333333333314,0.22743489339413198
8.399999999999986,1288.3621005020304,1109.3999999999958,-79.66935547675129,-42.9999999999998,0.22743489339413203
8.499999999999986,1280.4074813796049,1105.1041666666624,-79.42302697176005,-42.916666666666465,0.22743489339413198
8.599999999999985,1272.4774951076784,1100.8166666666623,-79.1766984667688,-42.83333333333313,0.22743489339413203
8.699999999999985,1264.572141686251,1096.5374999999956,-78.93036996177756,-42.749999999999794,0.22743489339413198
8.799999999999985,1256.6914211153228,1092.266666666662,-78.6840414567863,-42.66666666666646,0.22743489339413206
8.899999999999984,1248.8353333948937,1088.004166666662,-78.43771295179505,-42.58333333333312,0.22743489339413203
8.999999999999984,1241.0038785249637,1083.7499999999955,-78.19138444680381,-42.49999999999979,0.22743489339413198
9.099999999999984,1233.1970565055328,1079.504166666662,-77.94505594181256,-42.41666666666645,0.22743489339413203
