time,x,y,vx,vy,theta,theta_dot,alpha,MomentsApplied,ParallelThrust,PerpendicularThrust
0.78,-0.0267573843239271,1.21155519604143,-0.070608513567199,3.9797077449584,1.57031069927627,-0.00129860648736937,0.0182259016029189,-36850555.2344491,131670472.079891,-775272.421896756
0.79,-0.0274634694595991,1.25135227349101,-0.0714905715400935,4.04451068730805,1.5702977132114,-0.00131576900002915,0.0181727237480231,-36846328.6409755,131670503.189856,-775188.50019958
0.8,-0.028178375175,1.29179738036409,-0.0723704878475999,4.10932141007084,1.5702845555214,-0.00133293000247481,0.0181212498045926,-36841814.4329621,131670534.887776,-775098.526425901
0.81,-0.028902080053476,1.3328905944648,-0.0732482268399174,4.17413991483184,1.57027122622137,-0.00135008936068932,0.0180714002037654,-36837012.6400639,131670567.173671,-775002.50108254
0.82,-0.0296345623218752,1.37463199361312,-0.074123752864924,4.23896620317494,1.57025772532777,-0.00136724694066079,0.018023100224132,-36831923.2942493,131670600.047554,-774900.424725012
0.83,-0.0303757998505244,1.41702165564487,-0.074997030268454,4.30380027668278,1.57024405285836,-0.00138440260838352,0.0179762796280389,-36826546.4298008,131670633.509438,-774792.297957528
0.84,-0.0311257701532089,1.4600596584117,-0.0758680233945756,4.36864213693679,1.57023020883228,-0.00140155622985912,0.0179308723301461,-36820882.0833116,131670667.559333,-774678.121432933
0.85,-0.0318844503871547,1.50374607978107,-0.076736696585868,4.43349178551708,1.57021619326998,-0.00141870767109754,0.0178868160949579,-36814930.29369,131670702.197243,-774557.895852791
0.86,-0.0326518173530134,1.54808099763624,-0.0776030141836994,4.49834922400251,1.57020200619327,-0.0014358567981182,0.0178440522604073,-36808691.1021551,131670737.423174,-774431.621967307
0.87,-0.0334278474948504,1.59306448987626,-0.0784669405285041,4.56321445397056,1.57018764762529,-0.00145300347695103,0.0178025254849175,-36802164.5522393,131670773.237167,-774299.297781204
0.88,-0.0342125169001354,1.63869663441597,-0.0793284399600603,4.62808747699738,1.57017311759052,-0.0014701475735989,0.0177621835156447,-36795350.6897865,131670809.639484,-774160.90740643
0.89,-0.035005801299736,1.68497750918594,-0.0801874768143099,4.6929682946578,1.57015841611478,-0.00148728895384582,0.017722976975125,-36788249.5629541,131670846.629813,-774016.471277066
0.9,-0.0358076760678791,1.73190719213252,-0.0810440154063818,4.75785690852552,1.57014354322524,-0.00150442748375983,0.0176848591624013,-36780861.2222157,131670884.208143,-773865.99033863
0.91,-0.0366181162219429,1.77948576121778,-0.0818980200757596,4.82275332017247,1.5701284989504,-0.00152156302942384,0.0176477858830266,-36773185.7203557,131670922.374464,-773709.465585294
0.92,-0.0374370964227005,1.8277132944195,-0.0827494551623833,4.88765753116908,1.57011328332011,-0.00153869545693665,0.0176117152784143,-36765223.1124715,131670961.128761,-773546.898059912
0.93,-0.0382645909743244,1.87658986973119,-0.0835982850069268,4.95256954308432,1.57009789636554,-0.00155582463241407,0.0175766076734305,-36756973.4559699,131671000.471017,-773378.288853963
