time[s],x[m],y[m],vx[m/s],vy[m/s],theta[rad],theta_dot[rad/s],alpha[rad],gamma[rad],mass[kg],non_nominal_throttle,gimbalanglecommand[deg],gimbalangle[deg],u0,u1
375.7000000000169,9733.888780195422,31186.343386962253,-53.17520794018815,-579.8067243171567,1.4763976905831684,0.0037842041154291183,-3.1445351776298374,4.620932868213005,1245877.138903665,0.3818415003497841,0.5255040102788842,0.14200478226379354,0.02627520051394421,-0.23631699930043182
375.80000000001695,9728.597218372472,31128.544543240205,-52.91561822950545,-577.9884372204771,1.4767742413423945,0.0037655075922615245,-3.1443179001158845,4.621092141458279,1244907.5598951136,0.37998830315972,0.5590573280869213,0.18371003684610632,0.027952866404346067,-0.24002339368056003
375.900000000017,9723.331331453228,31070.92667925661,-52.65886919243979,-576.178639835948,1.4771485169474492,0.0037427560505474597,-3.1441003537903853,4.621248870737834,1243941.74460183,0.3781496428293488,0.5910124324761589,0.2244402764091116,0.029550621623807945,-0.24370071434130236
376.000000000017,9718.090840349309,31013.48895176237,-52.404911039186345,-574.3772749423734,1.4775201255873067,0.003716086398577579,-3.143882976150654,4.62140310173796,1242979.6636602837,0.37632537679085265,0.6213271250410414,0.26412896127230456,0.031066356252052067,-0.2473492464182947
376.100000000017,9712.875471166482,30956.230523167178,-52.153691828260385,-572.5842859519286,1.4778886896224748,0.0036856403516777876,-3.1436661952211487,4.621554884843623,1242021.2879836245,0.37451536420232917,0.6499628794907226,0.30271235309414635,0.03249814397453613,-0.25096927159534166
376.20000000001704,9707.684955406425,30899.15056147856,-51.905157600568025,-570.7996168861922,1.4782538460291468,0.0036515640667214126,-3.1434504289361787,4.6217042749653245,1241066.588757987,0.37271946592503435,0.6768848752197741,0.3401296053067091,0.033844243760988706,-0.2545610681499313
376.30000000001706,9702.51903015496,30842.24824024324,-51.6592525146565,-569.0232123531873,1.4786152468066898,0.0036140077754267153,-3.1432360845532465,4.621851331359936,1240115.5374389386,0.3709375445008622,0.7020620235130789,0.37632284712734615,0.03510310117565395,-0.2581249109982756
376.4000000000171,9697.377438256672,30785.522738490694,-51.41591898286838,-567.2550175254496,1.4789725593484027,0.00357312541712637,-3.143023558097467,4.621996117445868,1239168.1057480676,0.3691694641300751,0.7254669862851144,0.41123726104312297,0.03627334931425572,-0.26166107173984976
376.5000000000171,9692.259928475858,30728.97324067878,-51.17509780812774,-565.4949781191336,1.4793254667755709,0.003529074271683996,-3.142813233837489,4.62213870061306,1238224.2656697072,0.3674150906492348,0.7470761874731131,0.44482115368612196,0.03735380937365566,-0.26516981870153045
376.60000000001713,9687.16625564375,30672.598936641363,-50.93672832109027,-563.7430403741597,1.4796736682348928,0.0034820145932205147,-3.142605483793261,4.622279152028154,1237283.9894477932,0.3656742915093533,0.7668698171091496,0.4770260200284248,0.038343490855457484,-0.26865141698129336
376.70000000001716,9682.09618079201,30616.39902153782,-50.70074851739345,-561.9991510353984,1.480016879159423,0.0034321092452999076,-3.142400667275926,4.622417546435349,1236347.2495828497,0.3639469357542322,0.7848318281221398,0.5078066008377963,0.039241591406106995,-0.2721061284915356
376.8000000000172,9677.049471272536,30560.372695804333,-50.46709519474793,-560.263257334882,1.480354831493244,0.0033795233382097963,-3.1421991304600585,4.622553961953303,1235414.0188290973,0.36223289399897507,0.800949925946395,0.5371209333486562,0.040047496297319754,-0.27553421200204986
376.9000000000172,9672.025900863575,30504.51916510683,-50.23570408961629,-558.5353069750264,1.4806872738801398,0.003324423868956831,-3.1420012059884264,4.6226884798685655,1234484.2701916816,0.36053203840868475,0.8152155510607898,0.5649303951198695,0.040760777553039494,-0.2789359231826305
377.0000000000172,9667.025249862252,30448.837640295547,-50.006510013230965,-556.8152481128413,1.481013971816598,0.003266979364581514,-3.1418072126093586,4.622821184425956,1233557.976924011,0.35884424267732845,0.8276238544708273,0.5911997410549654,0.04138119272354137,-0.2823115146453431
377.10000000001725,9662.047305163582,30393.327337361035,-49.77944698670893,-555.1030293451023,1.4813347077695362,0.0032073595293799053,-3.1416174548467755,4.622952162616311,1232635.1125252033,0.35716938200676257,0.8381736663457477,0.6158971335840437,0.04190868331728739,-0.28566123598647486
