time[s],x[m],y[m],vx[m/s],vy[m/s],theta[rad],theta_dot[rad/s],alpha[rad],mass[kg],mass_propellant[kg],gimbalangle[deg],nonnominalthrottle[0-1],u0,u1
34.900000000000226,170.16746141847145,4560.725301871015,11.657711165728545,270.6483001427127,1.4951134345050956,-0.0029529109106556217,-0.032636216485915526,7606291.6518746475,4039366.324850285,-6.381547824970365,0.49840072122860013,-0.9116496892814807,-0.0031985575427997404
35.00000000000023,171.33678991940147,4587.837406162267,11.693285009300169,271.121042912522,1.4948220055937005,-0.002914289113954337,-0.032871644381094134,7603072.4640025245,4036147.1369781625,-6.409275018172692,0.4935204510680191,-0.9156107168818131,-0.012959097863961766
35.10000000000023,172.50968413349798,4614.996406895867,11.728942140965257,271.59000733600203,1.4945344745149132,-0.0028753107878730874,-0.03310246389535787,7599863.02198,4032937.6949556377,-6.433685026213231,0.48901552357164757,-0.9190978608876044,-0.02196895285670486
35.20000000000023,173.6861530419585,4642.201961056324,11.764689084605216,272.0555416045709,1.4942508375825923,-0.002836369323203648,-0.03332871134585247,7596662.564129643,4029737.2371052806,-6.454854996716639,0.48486173307493496,-0.9221221423880912,-0.030276533850130072
35.30000000000023,174.86620613876744,4669.453758252932,11.800530968089216,272.51797196608544,1.4939710521961431,-0.0027978538644933136,-0.03355046361308034,7593470.377743301,4026545.050718939,-6.472876802204701,0.4810364291517977,-0.924696686029243,-0.037927141696404654
35.40000000000023,176.04985331974473,4696.751518661508,11.836471809772803,272.97760408576147,1.4936950376358702,-0.002760145602730176,-0.03376783648856363,7590285.795957497,4023360.4689331353,-6.4878563486243515,0.47751842045559156,-0.9268366212320501,-0.04496315908881687
35.500000000000234,177.23710479899572,4724.09499109383,11.872514792509861,273.4347243232178,1.4934226762121747,-0.0027236142369549223,-0.03398098271004235,7587108.194822321,4020182.867797958,-6.499912757639283,0.4742878844779286,-0.9285589653770404,-0.05142423104414284
35.600000000000236,178.42797105139604,4751.483951186944,11.908662524003283,273.88960093114565,1.4931538147489536,-0.002688614632209934,-0.034190089708326044,7583936.990551583,4017011.6635272196,-6.50917743375927,0.4713262828451703,-0.9298824905370384,-0.057347434309659384
35.70000000000024,179.6224627796361,4778.918199705019,11.944917282400606,274.34248518074975,1.4928882663790621,-0.0026554836989172996,-0.03439537709208351,7580771.636942816,4013846.309918453,-6.515793028213167,0.46861628179646564,-0.9308275754590238,-0.06276743640706872
35.80000000000024,180.82059090424946,4806.397560946896,11.98128124613368,274.793612418768,1.4926258126274345,-0.002624537516278598,-0.034597093898696585,7577611.62295645,4010686.2959320876,-6.519912312133715,0.466141677509202,-0.9314160445905307,-0.06771664498159602
35.90000000000024,182.02236657495993,4833.921881252952,12.017756707104803,275.24320306055324,1.49236620575547,-0.0025960687196392037,-0.034795515640883234,7574456.470444207,4007531.1434198446,-6.521696972111187,0.4638873259597398,-0.9316709960158838,-0.07222534808052039
36.00000000000024,183.22780120160343,4861.491027605291,12.054346266434818,275.6914635233914,1.4921091713385717,-0.0025703441689835693,-0.03499094118002355,7571305.732017429,4004380.404993066,-6.521316341517921,0.4618390770277281,-0.9316166202168458,-0.07632184594454383
36.10000000000024,184.4369065028144,4889.104886315685,12.091053012109803,276.1385871039401,1.4918544110472867,-0.0025476029128532643,-0.03518368945807104,7568158.989046683,4001233.66202232,-6.518946081203569,0.45998371257180537,-0.9312780116005098,-0.08003257485638926
36.200000000000244,185.64969457061352,4916.763361796025,12.12788067799114,276.5847548033943,1.4916016056013828,-0.0025280544590370393,-0.03537409612053999,7565015.849784565,3998090.522760203,-6.5147668232082765,0.45830888822335325,-0.9306809747440394,-0.0833822235532935
36.300000000000246,186.86617794899223,4944.466375406398,12.164833783787207,277.0301361037272,1.4913504178653436,-0.0025118773603970993,-0.03556251006336563,7561875.947604176,3994950.6205798136,-6.508962791072564,0.4568030786623578,-0.9298518272960805,-0.08639384267528438
36.40000000000025,188.0863697245645,4972.213864376209,12.201917755722564,277.4748896981109,1.4911004960532235,-0.002499218121199175,-0.03574928993644089,7558738.939346239,3991813.612321877,-6.5017204101176285,0.45545552615614326,-0.9288172014453754,-0.08908894768771347
36.50000000000025,189.31028362734256,5000.005780794048,12.239139027780597,277.919164178393,1.4908514770105907,-0.002490190426329396,-0.03593480063631338,7555604.503768329,3988679.176743967,-6.4932269207695335,0.4542561921571986,-0.927603845824219,-0.09148761568560282
36.60000000000025,190.53793413969623,5027.842090662278,12.276505123536841,278.36309868229415,1.4906029895413064,-0.0024848746928407073,-0.036119409819945325,7552472.340090078,3985547.013065717,-6.483669007571676,0.45319571177110607,-0.9262384296530964,-0.09360857645778786
36.70000000000025,191.76933661157034,5055.722773012557,12.314024718741054,278.8068235027955,1.4903546577472668,-0.0024833179403956304,-0.036303484470553204,7549342.166628668,3982416.839604307,-6.473231456030979,0.45226535091894116,-0.9247473508615685,-0.09546929816211769
36.80000000000025,193.00450738006487,5083.647819078757,12.351707684945262,279.2504606620012,1.4901061043498278,-0.0024855339743893403,-0.036487387545415466,7546213.719519253,3979288.392494892,-6.4620958488389535,0.4514569660312606,-0.9231565498341361,-0.09708606793747876
36.900000000000254,194.24346389152595,5111.617231523916,12.389565114610924,279.69412445159537,1.489856953962541,-0.0024915038728694555,-0.036671474734140334,7543086.75151534,3976161.4244909794,-6.4504393123310955,0.45076296612240885,-0.9214913303330137,-0.0984740677551823
37.000000000000256,195.48622482435192,5139.631023718102,12.427609328259797,280.1379219418583,1.4896068362859571,-0.0025011767658375938,-0.03685609135427569,7539961.03086444,3973035.703840079,-6.43843332330317,0.45017627710473906,-0.91977618904331,-0.09964744579052187
37.10000000000026,196.73281021078782,5167.689219064209,12.465853864358857,280.58195346106476,1.4893553891966427,-0.00251447089314334,-0.03704156940931802,7536836.3402546,3969911.013230239,-6.42624258549478,0.4496903082120096,-0.9180346550706828,-0.10061938357598077
37.20000000000026,197.98324155606267,5195.791850368905,12.504313452748354,281.0263130469587,1.4891022617041447,-0.0025312749249824865,-0.037228224832156036,7533712.475827717,3966787.148803356,-6.414023984184578,0.4492989204106146,-0.9162891405977968,-0.10140215917877082
37.30000000000026,199.23754195331594,5223.938959256093,12.543003972532816,281.47108887188006,1.4888471167514445,-0.00255144952700338,-0.037416354934818756,7530589.246255746,3963663.919231385,-6.401925626436989,0.44899639668533275,-0.9145608037767127,-0.10200720662933449
37.40000000000026,200.49573619286159,5252.130595620394,12.581942395456588,281.9163636430116,1.4885896338364217,-0.002574829150222904,-0.03760623608306379,7527466.471876171,3960541.14485181,-6.39008597359427,0.4487774140939038,-0.9128694247991814,-0.10244517181219237
37.50000000000026,201.75785086444932,5280.366817118305,12.621146715877297,282.36221497911544,1.488329511433985,-0.00260122402436767,-0.0377981216119172,7524343.983883308,3957418.6568589467,-6.378633071636619,0.4486370174918597,-0.9112332959480884,-0.10272596501628062
