time[s],x[m],y[m],vx[m/s],vy[m/s],theta[rad],theta_dot[rad/s],gamma[rad],alpha[rad],mass[kg],mass_propellant[kg],gimbalangle[deg],nonnominalthrottle[0-1],u0,u1
3.2000000000000015,-0.07736991251686584,36.13511538948246,0.5820768262823885,21.122612796400226,1.5500596224341583,-0.00023529900288177252,88.42149701689709,0.006813369946960135,8953305.789815016,5386380.462790657,-2.2932815519515164,1.0,-0.327611650278788,1.0
3.3000000000000016,-0.013378285052614916,38.31465846856071,0.6399162746425092,21.79543079078251,1.5501054351594805,0.0004581272532227036,88.31827264873183,0.008660787765056854,8948989.38546844,5382064.058444081,-2.233251880518318,1.0,-0.31903598293118823,1.0
3.4000000000000017,0.056309326622630745,40.56156983061119,0.6968761167524566,22.4691136205048,1.55021815896457,0.0011272380508906494,88.22354963134711,0.010426740100933253,8944672.928169148,5377747.601144789,-2.1545420965353372,1.0,-0.30779172807647676,1.0
3.5000000000000018,0.13157085440351432,42.87593752198849,0.7526152778088356,23.143676913773,1.550394760503537,0.001766015389669998,88.1374399414672,0.012106239246175932,8940356.408666508,5373431.081642149,-2.058241535750133,1.0,-0.29403450510716184,1.0
3.600000000000002,0.21225583927961075,45.25785082986079,0.8068498487609643,23.819133078723052,1.5506316918119962,0.0023693130845937075,88.05990330555103,0.013696440142292543,8936039.82001816,5369114.492993801,-1.9456076939881433,1.0,-0.27794395628402047,1.0
3.700000000000002,0.29818742219519206,47.70740002949145,0.8593158291558131,24.495491996306576,1.5509249328669918,0.0029324105499586887,87.99085529049952,0.01519479640190391,8931723.157748325,5364797.830723966,-1.81802990242487,1.0,-0.25971855748926714,1.0
3.800000000000002,0.38916436674056276,50.22467603182373,0.9097694454537067,25.17276002332282,1.5512700352217037,0.003451023547116998,87.93017245268831,0.01659901407587494,8927406.419895515,5360481.092871155,-1.6769874944043888,1.0,-0.23956964205776982,1.0
3.900000000000002,0.48496360818459244,52.80977023754567,0.9579924144402969,25.850942057219395,1.5516621728428475,0.0039213762114403685,87.8776860026626,0.017907213062650973,8923089.606978977,5356164.279954617,-1.524051031823649,1.0,-0.21772157597480699,1.0
4.000000000000002,0.585342772127622,55.46277428821215,1.0037916394302955,26.530040506664843,1.5520961931551474,0.004340203122997698,87.83318825222011,0.019117865629902694,8918772.721877258,5351847.394852897,-1.3608647884399974,1.0,-0.1944092554914282,1.0
4.100000000000001,0.69004281489241,58.18377983116532,1.04700042764788,27.21005542953164,1.5525666699346823,0.004704767795346046,87.79643500354524,0.020229807609618122,8914455.769627633,5347530.442603271,-1.1891297748004002,1.0,-0.16987568211434287,1.0
