Propellant mass [kg],Inertia [kg m^2]
2007.6797534899317,19352529388.85925
2035.182215866506,19354594933.532265
2062.6846782430807,19356671613.090263
2090.187140619655,19358759406.8731
2117.6896029962295,19360858294.240685
2145.192065372804,19362968254.57302
2172.6945277493783,19365089267.27028
2200.1969901259527,19367221311.752846
2227.699452502527,19369364367.4614
2255.2019148791014,19371518413.85698
2282.704377255676,19373683430.42102
2310.20683963225,19375859396.655407
2337.7093020088246,19378046292.082603
2365.211764385399,19380244096.245632
2392.7142267619734,19382452788.708183
2420.2166891385477,19384672349.05466
2447.719151515122,19386902756.890263
2475.2216138916965,19389143991.841026
2502.724076268271,19391396033.553886
2530.2265386448453,19393658861.696754
2557.7290010214197,19395932455.95859
2585.231463397994,19398216796.049427
2612.7339257745684,19400511861.70048
2640.236388151143,19402817632.664173
2667.7388505277177,19405134088.71423
2695.241312904292,19407461209.645718
2722.7437752808664,19409798975.275135
2750.246237657441,19412147365.44045
2777.748700034015,19414506360.001183
2805.2511624105896,19416875938.83847
2832.753624787164,19419256081.855118
2860.2560871637384,19421646768.975677
2887.7585495403127,19424047980.146503
2915.261011916887,19426459695.33584
2942.7634742934615,19428881894.53384
2970.265936670036,19431314557.75271
2997.7683990466103,19433757665.026672
3025.2708614231847,19436211196.412136
3052.773323799759,19438675131.987682
3080.2757861763334,19441149451.85418
3107.778248552908,19443634136.134827
3135.280710929482,19446129164.975243
3162.7831733060566,19448634518.5435
3190.285635682631,19451150177.03023
3217.7880980592054,19453676120.648663
3245.29056043578,19456212329.63471
3272.7930228123546,19458758784.247017
3300.295485188929,19461315464.767063
3327.7979475655034,19463882351.499195
3355.3004099420777,19466459424.7707
3382.802872318652,19469046664.931915
3410.3053346952265,19471644052.356243
3437.807797071801,19474251567.440243
3465.3102594483753,19476869190.603714
3492.8127218249497,19479496902.289753
3520.315184201524,19482134682.9648
3547.8176465780984,19484782513.118774
3575.320108954673,19487440373.265068
3602.822571331247,19490108243.940655
3630.3250337078216,19492786105.70618
3657.827496084396,19495473939.14598
3685.3299584609704,19498171724.868214
3712.8324208375448,19500879443.504868
3740.334883214119,19503597075.7119
3767.8373455906935,19506324602.16923
3795.339807967268,19509062003.580902
3822.8422703438428,19511809260.675087
3850.344732720417,19514566354.20416
3877.8471950969915,19517333264.944824
3905.349657473566,19520109973.698143
3932.8521198501403,19522896461.289597
3960.3545822267147,19525692708.56921
3987.857044603289,19528498696.41158
4015.3595069798635,19531314405.715965
4042.861969356438,19534139817.406357
4070.364431733012,19536974912.43156
4097.866894109587,19539819671.76527
4125.369356486161,19542674076.406116
4152.871818862735,19545538107.377792
4180.37428123931,19548411745.729073
4207.876743615884,19551294972.53392
4235.379205992459,19554187768.891563
4262.881668369033,19557090115.926567
4290.384130745608,19560001994.78888
4317.886593122182,19562923386.653973
4345.3890554987565,19565854272.722847
4372.8915178753305,19568794634.222153
4400.393980251905,19571744452.404255
4427.896442628479,19574703708.547318
4455.398905005054,19577672383.955353
4482.901367381628,19580650459.95834
4510.403829758203,19583637917.912262
4537.906292134777,19586634739.19922
4565.408754511352,19589640905.227474
4592.911216887926,19592656397.431572
4620.4136792645,19595681197.27236
4647.916141641074,19598715286.23713
4675.418604017649,19601758645.839645
4702.921066394224,19604811257.62025
4730.423528770798,19607873103.145943
4757.925991147373,19610944164.010445
4785.428453523947,19614024421.834293
4812.9309159005215,19617113858.264915
4840.4333782770955,19620212454.976707
4867.93584065367,19623320193.671124
4895.438303030244,19626437056.076744
4922.940765406819,19629563023.949356
4950.443227783393,19632698079.07206
4977.945690159968,19635842203.255314
5005.448152536542,19638995378.33703
5032.950614913117,19642157586.182686
5060.453077289691,19645328808.685356
5087.955539666265,19648509027.765827
5115.458002042839,19651698225.372665
5142.960464419414,19654896383.482323
5170.462926795988,19658103484.09918
5197.965389172563,19661319509.255672
5225.467851549137,19664544441.012344
5252.970313925712,19667778261.45795
5280.472776302286,19671020952.709526
5307.9752386788605,19674272496.91247
