Propellant mass [kg],Inertia [kg m^2]
997840.8370006244,23372824783.984413
1003542.784640628,23372172603.877026
1009244.7322806315,23371539124.442455
1014946.6799206352,23370924299.09577
1020648.6275606387,23370328081.285484
1026350.5752006423,23369750424.49371
1032052.5228406459,23369191282.236336
1037754.4704806494,23368650608.063183
1043456.418120653,23368128355.558136
1049158.3657606565,23367624478.339355
1054860.3134006602,23367138930.059406
1060562.2610406638,23366671664.40541
1066264.2086806672,23366222635.099262
1071966.1563206709,23365791795.897728
1077668.1039606745,23365379100.59267
1083370.051600678,23364984503.011166
1089071.9992406815,23364607957.0157
1094773.9468806852,23364249416.504333
1100475.8945206886,23363908835.41085
1106177.8421606922,23363586167.704956
1111879.7898006958,23363281367.39243
1117581.7374406995,23362994388.515278
1123283.6850807029,23362725185.151947
1128985.6327207065,23362473711.417465
1134687.5803607102,23362239921.463608
1140389.5280007136,23362023769.479115
1146091.4756407172,23361825209.68981
1151793.4232807208,23361644196.3588
1157495.3709207245,23361480683.786667
1163197.3185607279,23361334626.311623
1168899.2662007315,23361205978.309677
1174601.2138407351,23361094694.194843
1180303.1614807385,23361000728.41931
1186005.1091207422,23360924035.4736
1191707.0567607458,23360864569.88677
1197409.0044007492,23360822286.226585
1203110.9520407529,23360797139.099697
1208812.8996807565,23360789083.15184
1214514.8473207601,23360798073.067997
1220216.7949607635,23360824063.57259
1225918.7426007672,23360867009.42968
1231620.6902407708,23360926865.443123
1237322.6378807742,23361003586.456783
1243024.5855207779,23361097127.35469
1248726.5331607815,23361207443.061283
1254428.4808007851,23361334488.541527
1260130.4284407885,23361478218.801147
1265832.3760807922,23361638588.886837
1271534.3237207958,23361815553.88638
1277236.2713607992,23362009068.92891
1282938.2190008028,23362219089.185078
1288640.1666408065,23362445569.867245
1294342.1142808099,23362688466.229683
1300044.0619208135,23362947733.568756
1305746.0095608172,23363223327.22312
1311447.9572008208,23363515202.57397
1317149.9048408242,23363823315.045147
1322851.8524808278,23364147620.103397
1328553.8001208315,23364488073.258575
1334255.7477608349,23364844630.063805
1339957.6954008385,23365217246.11573
1345659.6430408421,23365605877.054676
1351361.5906808458,23366010478.564873
1357063.5383208492,23366431006.374664
1362765.4859608528,23366867416.25667
1368467.4336008565,23367319664.02808
1374169.3812408599,23367787705.55076
1379871.3288808635,23368271496.731537
1385573.2765208671,23368770993.522343
1391275.2241608708,23369286151.920494
1396977.1718008742,23369816927.96884
1402679.1194408778,23370363277.756023
1408381.0670808814,23370925157.416653
1414083.0147208849,23371502523.131535
1419784.9623608885,23372095331.127888
1425486.9100008921,23372703537.679554
1431188.8576408955,23373327099.107224
1436890.8052808992,23373965971.77864
1442592.7529209028,23374620112.108818
1448294.7005609064,23375289476.560276
1453996.6482009098,23375974021.643238
1459698.5958409135,23376673703.915882
1465400.543480917,23377388479.98451
