Propellant mass [kg],X cog inertia [m]
971511.1927237603,58.45251069640584
977094.5903830923,58.44536881122693
982677.9880424242,58.438243150151436
988261.3857017562,58.43113372934812
993844.7833610881,58.42404056500724
999428.18102042,58.41696367334058
1005011.5786797521,58.40990307058148
1010594.976339084,58.40285877298489
1016178.373998416,58.39583079682739
1021761.7716577479,58.38881915840724
1027345.1693170798,58.38182387404439
1032928.5669764119,58.374844960080566
1038511.9646357438,58.367882432879234
1044095.3622950758,58.3609363088257
1049678.7599544076,58.354006604327125
1055262.1576137396,58.34709333581253
1060845.5552730716,58.3401965197329
1066428.9529324037,58.33331617256114
1072012.3505917354,58.326452310792206
1077595.7482510675,58.319604950943045
1083179.1459103995,58.3127741095527
1088762.5435697313,58.30595980318231
1094345.9412290633,58.29916204841516
1099929.3388883953,58.29238086185674
1105512.7365477271,58.285616260134724
1111096.1342070592,58.27886825989907
1116679.5318663912,58.272136877822014
1122262.9295257232,58.26542213059814
1127846.327185055,58.25872403494441
1133429.724844387,58.252042607600146
1139013.122503719,58.24537786532717
1144596.5201630509,58.23872982490974
1150179.9178223829,58.232098503154695
1155763.315481715,58.225483916891335
1161346.7131410467,58.21888608297164
1166930.1108003787,58.21230501827021
1172513.5084597107,58.205740739684266
1178096.9061190428,58.199193264133804
1183680.3037783746,58.19266260856152
1189263.7014377066,58.18614878993291
1194847.0990970386,58.17965182523631
1200430.4967563704,58.17317173148291
1206013.8944157024,58.16670852570677
1211597.2920750345,58.160262224964924
1217180.6897343663,58.153832846337394
1222764.0873936983,58.147420406927175
1228347.4850530303,58.14102492386036
1233930.8827123623,58.13464641428611
1239514.2803716941,58.12828489537673
1245097.6780310262,58.121940384327715
1250681.0756903582,58.115612898357725
1256264.47334969,58.109302454708704
1261847.871009022,58.10300907064588
1267431.268668354,58.09673276345783
1273014.6663276858,58.09047355045645
1278598.0639870178,58.0842314489771
1284181.4616463499,58.07800647637855
1289764.859305682,58.071798650043064
1295348.2569650137,58.06560798737646
1300931.6546243457,58.05943450580807
1306515.0522836777,58.053278222790894
1312098.4499430095,58.04713915580153
1317681.8476023416,58.0410173223403
1323265.2452616736,58.03491273993121
1328848.6429210054,58.02882542612209
1334432.0405803374,58.02275539848451
1340015.4382396694,58.016702674613946
1345598.8358990015,58.01066727212975
1351182.2335583332,58.00464920867519
1356765.6312176653,57.99864850191749
1362349.0288769973,57.992665169547905
1367932.426536329,57.986699229281754
1373515.824195661,57.980750698858415
1379099.2218549931,57.97481959604143
1384682.619514325,57.96890593861849
1390266.017173657,57.963009744401525
1395849.414832989,57.95713103122669
1401432.812492321,57.95126981695447
1407016.2101516528,57.94542611946968
1412599.6078109848,57.93959995668149
1418183.0054703169,57.93379134652355
1423766.4031296487,57.928000306953905
1429349.8007889807,57.92222685595514
1434933.1984483127,57.916471011534405
1440516.5961076445,57.910732791723404
1446099.9937669765,57.90501221457849
1451683.3914263085,57.89930929818069
1457266.7890856403,57.89362406063574
1462850.1867449724,57.88795652007414
1468433.5844043044,57.88230669465119
1474016.9820636364,57.87667460254703
1479600.3797229682,57.87106026196666
1485183.7773823002,57.86546369114009
1490767.1750416323,57.85988490832218
1496350.572700964,57.854323931792905
1501933.970360296,57.84878077985722
1507517.368019628,57.843255470845264
1513100.76567896,57.83774802311222
1518684.163338292,57.832258455038534
1524267.560997624,57.82678678502985
