Propellant mass [kg],d_cp_cg [m]
461857.758840289,3.9918558077436583
467559.7064802926,3.990520694259012
473261.6541202962,3.989185580774366
478963.60176029976,3.9878504672897197
484665.5494003033,3.9865153538050735
490367.49704030686,3.9851802403204273
496069.44468031044,3.983845126835781
501771.392320314,3.982510013351135
507473.3399603176,3.9811748998664886
513175.2876003212,3.9798397863818424
518877.2352403247,3.9785046728971962
524579.1828803283,3.97716955941255
530281.1305203319,3.9758344459279042
535983.0781603354,3.9744993324432576
541685.025800339,3.973164218958612
547386.9734403426,3.971829105473965
553088.9210803461,3.9704939919893194
558790.8687203497,3.9691588785046727
564492.8163603533,3.967823765020027
570194.7640003568,3.9664886515353808
575896.7116403604,3.9651535380507346
581598.6592803639,3.9638184245660883
587300.6069203676,3.962483311081442
593002.5545603711,3.961148197596796
598704.5022003746,3.9598130841121497
604406.4498403782,3.9584779706275035
610108.3974803818,3.9571428571428573
615810.3451203854,3.955807743658211
621512.2927603889,3.954472630173565
627214.2404003926,3.9531375166889187
632916.1880403961,3.9518024032042725
638618.1356803996,3.9504672897196262
644320.0833204032,3.94913217623498
650022.0309604068,3.947797062750334
655723.9786004104,3.9464619492656876
661425.9262404139,3.9451268357810414
667127.8738804174,3.943791722296395
672829.8215204211,3.942456608811749
678531.7691604246,3.9411214953271028
684233.7168004282,3.939786381842457
689935.6644404317,3.9384512683578103
695637.6120804354,3.9371161548731646
701339.5597204389,3.935781041388518
707041.5073604424,3.934445927903872
712743.4550004461,3.9331108144192255
718445.4026404496,3.9317757009345797
724147.3502804532,3.930440587449933
729849.2979204567,3.9291054739652873
735551.2455604603,3.927770360480641
741253.1932004639,3.926435246995995
746955.1408404674,3.9251001335113487
752657.088480471,3.9237650200267025
758359.0361204746,3.9224299065420563
764060.9837604781,3.92109479305741
769762.9314004817,3.919759679572764
775464.8790404852,3.9184245660881176
781166.8266804889,3.9170894526034714
786868.7743204924,3.915754339118825
792570.721960496,3.914419225634179
798272.6696004996,3.913084112149533
803974.6172405031,3.9117489986648866
809676.5648805067,3.9104138851802404
815378.5125205102,3.909078771695594
821080.4601605139,3.907743658210948
826782.4078005174,3.9064085447263017
832484.3554405209,3.9050734312416555
838186.3030805246,3.9037383177570097
843888.2507205281,3.902403204272363
849590.1983605317,3.9010680907877173
855292.1460005352,3.8997329773030707
860994.0936405389,3.898397863818425
866696.0412805424,3.8970627503337782
872397.9889205459,3.8957276368491325
878099.9365605495,3.894392523364486
883801.8842005531,3.89305740987984
889503.8318405567,3.891722296395194
895205.7794805602,3.8903871829105476
900907.7271205637,3.8890520694259014
906609.6747605674,3.887716955941255
912311.6224005709,3.886381842456609
918013.5700405745,3.885046728971963
923715.517680578,3.8837116154873166
929417.4653205816,3.8823765020026704
935119.4129605852,3.881041388518024
940821.3606005887,3.879706275033378
946523.3082405924,3.8783711615487317
952225.2558805959,3.8770360480640855
957927.2035205995,3.8757009345794393
963629.151160603,3.874365821094793
969331.0988006066,3.873030707610147
975033.0464406102,3.8716955941255007
980734.9940806137,3.8703604806408545
986436.9417206174,3.8690253671562083
992138.8893606209,3.8676902536715625
997840.8370006244,3.866355140186916
1003542.784640628,3.86502002670227
1009244.7322806315,3.8636849132176234
1014946.6799206352,3.8623497997329777
1020648.6275606387,3.861014686248331
1026350.5752006423,3.8596795727636852
1032052.5228406459,3.8583444592790386
1037754.4704806494,3.857009345794393
1043456.418120653,3.8556742323097466
1049158.3657606565,3.8543391188251004
1054860.3134006602,3.853004005340454
1060562.2610406638,3.851668891855808
1066264.2086806672,3.8503337783711618
1071966.1563206709,3.8489986648865155
1077668.1039606745,3.8476635514018693
1083370.051600678,3.846328437917223
1089071.9992406815,3.844993324432577
1094773.9468806852,3.8436582109479307
1100475.8945206886,3.8423230974632845
1106177.8421606922,3.8409879839786383
1111879.7898006958,3.839652870493992
1117581.7374406995,3.838317757009346
1123283.6850807029,3.8369826435246996
1128985.6327207065,3.8356475300400534
1134687.5803607102,3.834312416555407
1140389.5280007136,3.832977303070761
1146091.4756407172,3.831642189586115
1151793.4232807208,3.8303070761014686
1157495.3709207245,3.8289719626168224
1163197.3185607279,3.827636849132176
1168899.2662007315,3.82630173564753
1174601.2138407351,3.8249666221628837
1180303.1614807385,3.8236315086782375
1186005.1091207422,3.8222963951935913
1191707.0567607458,3.820961281708945
1197409.0044007492,3.819626168224299
1203110.9520407529,3.818291054739653
1208812.8996807565,3.8169559412550065
1214514.8473207601,3.8156208277703607
1220216.7949607635,3.8142857142857145
1225918.7426007672,3.8129506008010683
1231620.6902407708,3.811615487316422
1237322.6378807742,3.810280373831776
1243024.5855207779,3.8089452603471297
1248726.5331607815,3.8076101468624834
1254428.4808007851,3.8062750333778372
1260130.4284407885,3.804939919893191
1265832.3760807922,3.803604806408545
1271534.3237207958,3.8022696929238986
1277236.2713607992,3.8009345794392524
1282938.2190008028,3.799599465954606
1288640.1666408065,3.79826435246996
1294342.1142808099,3.7969292389853138
1300044.0619208135,3.7955941255006675
1305746.0095608172,3.7942590120160213
1311447.9572008208,3.792923898531375
1317149.9048408242,3.791588785046729
1322851.8524808278,3.7902536715620827
1328553.8001208315,3.7889185580774365
1334255.7477608349,3.7875834445927903
1339957.6954008385,3.786248331108144
1345659.6430408421,3.784913217623498
1351361.5906808458,3.7835781041388516
1357063.5383208492,3.782242990654206
1362765.4859608528,3.7809078771695592
1368467.4336008565,3.7795727636849135
1374169.3812408599,3.7782376502002673
1379871.3288808635,3.776902536715621
1385573.2765208671,3.775567423230975
1391275.2241608708,3.7742323097463286
1396977.1718008742,3.7728971962616824
1402679.1194408778,3.771562082777036
1408381.0670808814,3.77022696929239
1414083.0147208849,3.7688918558077438
1419784.9623608885,3.7675567423230976
1425486.9100008921,3.7662216288384514
1431188.8576408955,3.764886515353805
1436890.8052808992,3.763551401869159
1442592.7529209028,3.7622162883845127
1448294.7005609064,3.7608811748998665
1453996.6482009098,3.7595460614152203
1459698.5958409135,3.758210947930574
1465400.543480917,3.756875834445928
1471102.4911209205,3.7555407209612817
1476804.4387609242,3.7542056074766355
1482506.3864009278,3.7528704939919892
1488208.3340409314,3.751535380507343
1493910.2816809348,3.750200267022697
1499612.2293209385,3.7488651535380506
1505314.176960942,3.7475300400534044
1511016.1246009455,3.7461949265687586
1516718.0722409491,3.744859813084112
1522420.0198809528,3.743524699599466
1528121.9675209562,3.74218958611482
1533823.9151609598,3.740854472630174
1539525.8628009635,3.7395193591455276
1545227.810440967,3.7381842456608814
1550929.7580809705,3.736849132176235
1556631.7057209741,3.735514018691589
1562333.6533609778,3.7341789052069427
1568035.6010009812,3.7328437917222965
1573737.5486409848,3.7315086782376503
1579439.4962809884,3.730173564753004
1585141.443920992,3.728838451268358
1590843.3915609955,3.7275033377837117
1596545.3392009991,3.7261682242990655
1602247.2868410028,3.7248331108144193
1607949.2344810062,3.723497997329773
1613651.1821210098,3.722162883845127
1619353.1297610134,3.7208277703604806
1625055.077401017,3.7194926568758344
1630757.0250410205,3.718157543391188
1636458.972681024,3.716822429906542
1642160.9203210277,3.715487316421896
1647862.8679610312,3.7141522029372496
1653564.8156010348,3.7128170894526034
1659266.7632410384,3.711481975967957
1664968.7108810418,3.7101468624833114
1670670.6585210455,3.7088117489986647
1676372.606161049,3.707476635514019
1682074.5538010527,3.7061415220293723
1687776.5014410561,3.7048064085447265
1693478.4490810598,3.7034712950600803
1699180.3967210634,3.702136181575434
1704882.3443610668,3.700801068090788
1710584.2920010705,3.6994659546061417
1716286.239641074,3.6981308411214955
1721988.1872810777,3.6967957276368493
1727690.1349210811,3.695460614152203
1733392.0825610848,3.694125500667557
1739094.0302010884,3.6927903871829106
1744795.9778410918,3.6914552736982644
1750497.9254810954,3.690120160213618
1756199.873121099,3.688785046728972
1761901.8207611025,3.687449933244326
1767603.7684011061,3.6861148197596796
1773305.7160411098,3.6847797062750334
1779007.6636811134,3.683444592790387
1784709.6113211168,3.682109479305741
1790411.5589611204,3.6807743658210947
1796113.506601124,3.6794392523364485
1801815.4542411275,3.6781041388518023
1807517.401881131,3.676769025367156
1813219.3495211347,3.67543391188251
1818921.2971611384,3.6740987983978637
1824623.2448011418,3.6727636849132175
1830325.1924411454,3.6714285714285717
1836027.140081149,3.670093457943925
1841729.0877211525,3.6687583444592793
1847431.035361156,3.667423230974633
1853132.9830011597,3.666088117489987
1858834.9306411631,3.6647530040053407
1864536.8782811668,3.6634178905206944
1870238.8259211704,3.6620827770360482
1875940.773561174,3.660747663551402
1881642.7212011775,3.659412550066756
1887344.668841181,3.6580774365821096
1893046.6164811847,3.6567423230974634
1898748.5641211881,3.655407209612817
1904450.5117611918,3.654072096128171
1910152.4594011954,3.6527369826435248
1915854.407041199,3.6514018691588785
1921556.3546812024,3.6500667556742323
1927258.302321206,3.648731642189586
1932960.2499612097,3.64739652870494
1938662.1976012131,3.6460614152202937
1944364.1452412168,3.6447263017356475
1950066.0928812204,3.6433911882510013
1955768.040521224,3.642056074766355
1961469.9881612274,3.640720961281709
1967171.935801231,3.6393858477970626
1972873.8834412347,3.6380507343124164
1978575.831081238,3.6367156208277702
1984277.7787212417,3.6353805073431245
1989979.7263612454,3.634045393858478
1995681.6740012488,3.632710280373832
2001383.6216412524,3.631375166889186
2007085.569281256,3.6300400534045396
2012787.5169212597,3.6287049399198934
2018489.464561263,3.627369826435247
2024191.4122012667,3.626034712950601
2029893.3598412704,3.6246995994659548
2035595.3074812738,3.6233644859813086
